season,divergence_week,diverged,eliminations_pct,eliminations_rank,final_survivors_pct,final_survivors_rank
11,5.0,True,"[{'week': 1, 'eliminated': 'David Hasselhoff', 'method': 'percentage'}, {'week': 2, 'eliminated': 'Michael Bolton', 'method': 'percentage'}, {'week': 3, 'eliminated': 'Margaret Cho', 'method': 'percentage'}, {'week': 4, 'eliminated': 'The Situation', 'method': 'percentage'}, {'week': 5, 'eliminated': 'Florence Henderson', 'method': 'percentage'}, {'week': 6, 'eliminated': 'Rick Fox', 'method': 'percentage'}, {'week': 7, 'eliminated': 'Brandy', 'method': 'percentage'}, {'week': 8, 'eliminated': 'Kurt Warner', 'method': 'percentage'}, {'week': 9, 'eliminated': 'Bristol Palin', 'method': 'percentage'}]","[{'week': 1, 'eliminated': 'David Hasselhoff', 'method': 'rank'}, {'week': 2, 'eliminated': 'Michael Bolton', 'method': 'rank'}, {'week': 3, 'eliminated': 'Margaret Cho', 'method': 'rank'}, {'week': 4, 'eliminated': 'The Situation', 'method': 'rank'}, {'week': 5, 'eliminated': 'Audrina Patridge', 'method': 'rank'}, {'week': 6, 'eliminated': 'Kurt Warner', 'method': 'rank'}, {'week': 7, 'eliminated': 'Bristol Palin', 'method': 'rank'}, {'week': 8, 'eliminated': 'Kyle Massey', 'method': 'rank'}, {'week': 9, 'eliminated': 'Brandy', 'method': 'rank'}]","['Jennifer Grey', 'Audrina Patridge', 'Kyle Massey']","['Florence Henderson', 'Jennifer Grey', 'Rick Fox']"
12,3.0,True,"[{'week': 2, 'eliminated': 'Mike Catherwood', 'method': 'percentage'}, {'week': 3, 'eliminated': 'Wendy Williams', 'method': 'percentage'}, {'week': 4, 'eliminated': 'Kendra Wilkinson', 'method': 'percentage'}, {'week': 5, 'eliminated': 'Petra Nemcova', 'method': 'percentage'}, {'week': 6, 'eliminated': 'Chris Jericho', 'method': 'percentage'}, {'week': 7, 'eliminated': 'Romeo', 'method': 'percentage'}, {'week': 8, 'eliminated': 'Ralph Macchio', 'method': 'percentage'}, {'week': 9, 'eliminated': 'Kirstie Alley', 'method': 'percentage'}]","[{'week': 2, 'eliminated': 'Mike Catherwood', 'method': 'rank'}, {'week': 3, 'eliminated': 'Sugar Ray Leonard', 'method': 'rank'}, {'week': 4, 'eliminated': 'Kendra Wilkinson', 'method': 'rank'}, {'week': 5, 'eliminated': 'Petra Nemcova', 'method': 'rank'}, {'week': 6, 'eliminated': 'Chris Jericho', 'method': 'rank'}, {'week': 7, 'eliminated': 'Romeo', 'method': 'rank'}, {'week': 8, 'eliminated': 'Ralph Macchio', 'method': 'rank'}, {'week': 9, 'eliminated': 'Kirstie Alley', 'method': 'rank'}]","['Hines Ward', 'Sugar Ray Leonard', 'Chelsea Kane']","['Hines Ward', 'Chelsea Kane', 'Wendy Williams']"
13,1.0,True,"[{'week': 1, 'eliminated': 'Metta World Peace (Ron)', 'method': 'percentage'}, {'week': 2, 'eliminated': 'Carson Kressley', 'method': 'percentage'}, {'week': 3, 'eliminated': 'Chaz Bono', 'method': 'percentage'}, {'week': 4, 'eliminated': 'Chynna Phillips', 'method': 'percentage'}, {'week': 5, 'eliminated': 'Nancy Grace', 'method': 'percentage'}, {'week': 6, 'eliminated': 'Hope Solo', 'method': 'percentage'}, {'week': 7, 'eliminated': 'David Arquette', 'method': 'percentage'}, {'week': 8, 'eliminated': 'Rob Kardashian', 'method': 'percentage'}, {'week': 9, 'eliminated': 'J.R. Martinez', 'method': 'percentage'}]","[{'week': 1, 'eliminated': 'Elisabetta Canalis', 'method': 'rank'}, {'week': 2, 'eliminated': 'Hope Solo', 'method': 'rank'}, {'week': 3, 'eliminated': 'Carson Kressley', 'method': 'rank'}, {'week': 4, 'eliminated': 'Chynna Phillips', 'method': 'rank'}, {'week': 5, 'eliminated': 'Chaz Bono', 'method': 'rank'}, {'week': 6, 'eliminated': 'David Arquette', 'method': 'rank'}, {'week': 7, 'eliminated': 'Nancy Grace', 'method': 'rank'}, {'week': 8, 'eliminated': 'J.R. Martinez', 'method': 'rank'}, {'week': 9, 'eliminated': 'Rob Kardashian', 'method': 'rank'}]","['Ricki Lake', 'Elisabetta Canalis', 'Kristin Cavallari']","['Ricki Lake', 'Metta World Peace (Ron)', 'Kristin Cavallari']"
14,4.0,True,"[{'week': 2, 'eliminated': 'Martina Navratilova', 'method': 'percentage'}, {'week': 3, 'eliminated': 'Jack Wagner', 'method': 'percentage'}, {'week': 4, 'eliminated': 'Gladys Knight', 'method': 'percentage'}, {'week': 5, 'eliminated': 'Gavin DeGraw', 'method': 'percentage'}, {'week': 6, 'eliminated': 'Roshon Fegan', 'method': 'percentage'}, {'week': 7, 'eliminated': 'Jaleel White', 'method': 'percentage'}, {'week': 8, 'eliminated': 'Melissa Gilbert', 'method': 'percentage'}, {'week': 9, 'eliminated': 'Maria Menounos', 'method': 'percentage'}]","[{'week': 2, 'eliminated': 'Martina Navratilova', 'method': 'rank'}, {'week': 3, 'eliminated': 'Jack Wagner', 'method': 'rank'}, {'week': 4, 'eliminated': 'Sherri Sheperd', 'method': 'rank'}, {'week': 5, 'eliminated': 'Gavin DeGraw', 'method': 'rank'}, {'week': 6, 'eliminated': 'Roshon Fegan', 'method': 'rank'}, {'week': 7, 'eliminated': 'Jaleel White', 'method': 'rank'}, {'week': 8, 'eliminated': 'Maria Menounos', 'method': 'rank'}, {'week': 9, 'eliminated': 'Donald Driver', 'method': 'rank'}]","['Donald Driver', 'Katherine Jenkins', 'William Levy', 'Sherri Sheperd']","['Katherine Jenkins', 'William Levy', 'Gladys Knight', 'Melissa Gilbert']"
15,2.0,True,"[{'week': 1, 'eliminated': 'Pamela Anderson', 'method': 'percentage'}, {'week': 2, 'eliminated': 'Bristol Palin', 'method': 'percentage'}, {'week': 3, 'eliminated': 'Drew Lachey', 'method': 'percentage'}, {'week': 4, 'eliminated': 'Kirstie Alley', 'method': 'percentage'}, {'week': 6, 'eliminated': 'Emmitt Smith', 'method': 'percentage'}, {'week': 8, 'eliminated': 'Apolo Anton Ohno', 'method': 'percentage'}, {'week': 9, 'eliminated': 'Kelly Monaco', 'method': 'percentage'}]","[{'week': 1, 'eliminated': 'Pamela Anderson', 'method': 'rank'}, {'week': 2, 'eliminated': 'Helio Castroneves', 'method': 'rank'}, {'week': 3, 'eliminated': 'Drew Lachey', 'method': 'rank'}, {'week': 4, 'eliminated': 'Apolo Anton Ohno', 'method': 'rank'}, {'week': 6, 'eliminated': 'Emmitt Smith', 'method': 'rank'}, {'week': 8, 'eliminated': 'Kirstie Alley', 'method': 'rank'}, {'week': 9, 'eliminated': 'Kelly Monaco', 'method': 'rank'}]","['Shawn Johnson', 'Sabrina Bryan', 'Joey Fatone', 'Gilles Marini', 'Helio Castroneves', 'Melissa Rycroft']","['Shawn Johnson', 'Sabrina Bryan', 'Joey Fatone', 'Gilles Marini', 'Bristol Palin', 'Melissa Rycroft']"
16,4.0,True,"[{'week': 3, 'eliminated': 'Wynonna Judd', 'method': 'percentage'}, {'week': 4, 'eliminated': 'Lisa Vanderpump', 'method': 'percentage'}, {'week': 5, 'eliminated': 'Andy Dick', 'method': 'percentage'}, {'week': 6, 'eliminated': 'Victor Ortiz', 'method': 'percentage'}, {'week': 7, 'eliminated': 'Sean Lowe', 'method': 'percentage'}, {'week': 8, 'eliminated': 'Ingo Rademacher', 'method': 'percentage'}, {'week': 9, 'eliminated': 'Zendaya', 'method': 'percentage'}, {'week': 10, 'eliminated': 'Alexandra Raisman', 'method': 'percentage'}]","[{'week': 3, 'eliminated': 'Wynonna Judd', 'method': 'rank'}, {'week': 4, 'eliminated': 'Sean Lowe', 'method': 'rank'}, {'week': 5, 'eliminated': 'D. L. Hughley', 'method': 'rank'}, {'week': 6, 'eliminated': 'Andy Dick', 'method': 'rank'}, {'week': 7, 'eliminated': 'Ingo Rademacher', 'method': 'rank'}, {'week': 8, 'eliminated': 'Alexandra Raisman', 'method': 'rank'}, {'week': 9, 'eliminated': 'Zendaya', 'method': 'rank'}, {'week': 10, 'eliminated': 'Jacoby Jones', 'method': 'rank'}]","['Dorothy Hamill', 'Kellie Pickler', 'Jacoby Jones', 'D. L. Hughley']","['Dorothy Hamill', 'Lisa Vanderpump', 'Kellie Pickler', 'Victor Ortiz']"
17,2.0,True,"[{'week': 2, 'eliminated': 'Bill Nye', 'method': 'percentage'}, {'week': 3, 'eliminated': 'Valerie Harper', 'method': 'percentage'}, {'week': 4, 'eliminated': 'Brant Daugherty', 'method': 'percentage'}, {'week': 5, 'eliminated': 'Leah Remini', 'method': 'percentage'}, {'week': 7, 'eliminated': 'Nicole ""Snooki"" Polizzi', 'method': 'percentage'}, {'week': 8, 'eliminated': 'Elizabeth Berkley Lauren', 'method': 'percentage'}, {'week': 9, 'eliminated': 'Bill Engvall', 'method': 'percentage'}, {'week': 10, 'eliminated': 'Jack Osbourne', 'method': 'percentage'}, {'week': 11, 'eliminated': 'Corbin Bleu', 'method': 'percentage'}]","[{'week': 2, 'eliminated': 'Keyshawn Johnson', 'method': 'rank'}, {'week': 3, 'eliminated': 'Bill Nye', 'method': 'rank'}, {'week': 4, 'eliminated': 'Valerie Harper', 'method': 'rank'}, {'week': 5, 'eliminated': 'Leah Remini', 'method': 'rank'}, {'week': 7, 'eliminated': 'Nicole ""Snooki"" Polizzi', 'method': 'rank'}, {'week': 8, 'eliminated': 'Brant Daugherty', 'method': 'rank'}, {'week': 9, 'eliminated': 'Bill Engvall', 'method': 'rank'}, {'week': 10, 'eliminated': 'Corbin Bleu', 'method': 'rank'}, {'week': 11, 'eliminated': 'Amber Riley', 'method': 'rank'}]","['Keyshawn Johnson', 'Amber Riley', 'Christina Milian']","['Jack Osbourne', 'Elizabeth Berkley Lauren', 'Christina Milian']"
18,5.0,True,"[{'week': 2, 'eliminated': 'NeNe Leakes', 'method': 'percentage'}, {'week': 5, 'eliminated': 'Drew Carey', 'method': 'percentage'}, {'week': 6, 'eliminated': 'Danica McKellar', 'method': 'percentage'}, {'week': 7, 'eliminated': 'Charlie White', 'method': 'percentage'}, {'week': 8, 'eliminated': 'James Maslow', 'method': 'percentage'}, {'week': 9, 'eliminated': 'Candace Cameron Bure', 'method': 'percentage'}, {'week': 10, 'eliminated': 'Amy Purdy', 'method': 'percentage'}]","[{'week': 2, 'eliminated': 'NeNe Leakes', 'method': 'rank'}, {'week': 5, 'eliminated': 'Cody Simpson', 'method': 'rank'}, {'week': 6, 'eliminated': 'Drew Carey', 'method': 'rank'}, {'week': 7, 'eliminated': 'Charlie White', 'method': 'rank'}, {'week': 8, 'eliminated': 'Danica McKellar', 'method': 'rank'}, {'week': 9, 'eliminated': 'James Maslow', 'method': 'rank'}, {'week': 10, 'eliminated': 'Amy Purdy', 'method': 'rank'}]","['Meryl Davis', 'Cody Simpson', 'Sean Avery', 'Billy Dee Williams', 'Diana Nyad']","['Meryl Davis', 'Sean Avery', 'Candace Cameron Bure', 'Billy Dee Williams', 'Diana Nyad']"
19,1.0,True,"[{'week': 1, 'eliminated': 'Betsey Johnson', 'method': 'percentage'}, {'week': 2, 'eliminated': 'Randy Couture', 'method': 'percentage'}, {'week': 3, 'eliminated': 'Lea Thompson', 'method': 'percentage'}, {'week': 4, 'eliminated': 'Jonathan Bennett', 'method': 'percentage'}, {'week': 6, 'eliminated': 'Antonio Sabato Jr.', 'method': 'percentage'}, {'week': 7, 'eliminated': 'Michael Waltrip', 'method': 'percentage'}, {'week': 8, 'eliminated': 'Tommy Chong', 'method': 'percentage'}, {'week': 9, 'eliminated': 'Sadie Robertson', 'method': 'percentage'}, {'week': 10, 'eliminated': 'Alfonso Ribeiro', 'method': 'percentage'}, {'week': 11, 'eliminated': 'Bethany Mota', 'method': 'percentage'}]","[{'week': 1, 'eliminated': 'Lolo Jones', 'method': 'rank'}, {'week': 2, 'eliminated': 'Tavis Smiley', 'method': 'rank'}, {'week': 3, 'eliminated': 'Randy Couture', 'method': 'rank'}, {'week': 4, 'eliminated': 'Jonathan Bennett', 'method': 'rank'}, {'week': 6, 'eliminated': 'Antonio Sabato Jr.', 'method': 'rank'}, {'week': 7, 'eliminated': 'Michael Waltrip', 'method': 'rank'}, {'week': 8, 'eliminated': 'Lea Thompson', 'method': 'rank'}, {'week': 9, 'eliminated': 'Tommy Chong', 'method': 'rank'}, {'week': 10, 'eliminated': 'Alfonso Ribeiro', 'method': 'rank'}, {'week': 11, 'eliminated': 'Bethany Mota', 'method': 'rank'}]","['Lolo Jones', 'Tavis Smiley', 'Janel Parrish']","['Sadie Robertson', 'Betsey Johnson', 'Janel Parrish']"
20,2.0,True,"[{'week': 2, 'eliminated': 'Chris Soules', 'method': 'percentage'}, {'week': 3, 'eliminated': 'Charlotte McKinney', 'method': 'percentage'}, {'week': 4, 'eliminated': 'Suzanne Somers', 'method': 'percentage'}, {'week': 5, 'eliminated': 'Patti LaBelle', 'method': 'percentage'}, {'week': 6, 'eliminated': 'Willow Shields', 'method': 'percentage'}, {'week': 7, 'eliminated': 'Robert Herjavec', 'method': 'percentage'}, {'week': 8, 'eliminated': 'Nastia Liukin', 'method': 'percentage'}, {'week': 9, 'eliminated': 'Noah Galloway', 'method': 'percentage'}]","[{'week': 2, 'eliminated': 'Charlotte McKinney', 'method': 'rank'}, {'week': 3, 'eliminated': 'Michael Sam', 'method': 'rank'}, {'week': 4, 'eliminated': 'Suzanne Somers', 'method': 'rank'}, {'week': 5, 'eliminated': 'Robert Herjavec', 'method': 'rank'}, {'week': 6, 'eliminated': 'Patti LaBelle', 'method': 'rank'}, {'week': 7, 'eliminated': 'Chris Soules', 'method': 'rank'}, {'week': 8, 'eliminated': 'Nastia Liukin', 'method': 'rank'}, {'week': 9, 'eliminated': 'Noah Galloway', 'method': 'rank'}]","['Rumer Willis', 'Redfoo', 'Michael Sam', 'Riker Lynch']","['Willow Shields', 'Rumer Willis', 'Redfoo', 'Riker Lynch']"
