season,celebrity_name,weeks_participated,avg_judge_rank,avg_fan_vote,expected_fan_vote,deviation,weeks_below_median,final_placement,ballroom_partner,industry,deviation_index,cluster,cluster_label
4,Leeza Gibbons,4,6.0,7.497034182551448e-05,0.0818181818181818,-0.08174321147635628,2,9,Tony Dovolani,TV Personality,-0.8084925301010927,0,Judge-type
4,Paulina Porizkova,2,5.5,6.40833409930931e-11,0.08863636363636364,-0.0886363635722803,0,11,Alec Mazo,Model,-0.8766702035463945,0,Judge-type
4,Shandi Finnessey,3,7.0,0.0027381990162765337,0.06818181818181818,-0.06544361916554164,2,10,Brian Fortuna,Beauty Pagent,-0.6472791597308997,0,Judge-type
5,Albert Reed,2,5.0,1.2733646438458994e-05,0.09999999999999999,-0.09998726635356153,0,11,Anna Trebunskaya,Model,-0.988937876210858,0,Judge-type
5,Cameron Mathison,8,4.25,0.0035061278637517,0.10937499999999999,-0.1058688721362483,2,5,Edyta Sliwinska,Actor/Actress,-1.047110711048367,0,Judge-type
5,Floyd Mayweather Jr. ,4,8.0,0.007744133852761825,0.0625,-0.05475586614723817,3,9,Karina Smirnoff,Athlete,-0.541570461445133,1,Balanced
5,Helio Castroneves,10,2.6,0.32291757915547753,0.13,0.19291757915547753,2,1,Julianne Hough,Racing Driver,1.9080779780410744,2,Fan-type
5,Jane Seymour,7,4.285714285714286,0.011348554273268058,0.10892857142857144,-0.09758001715530339,2,6,Tony Dovolani,Actor/Actress,-0.9651286453312211,0,Judge-type
5,Jennie Garth,9,3.6666666666666665,0.0043455604796724095,0.11666666666666667,-0.11232110618699426,3,4,Derek Hough,Actor/Actress,-1.110927423632517,0,Judge-type
5,Josie Maran,1,12.0,6.3950987517699695e-19,0.012499999999999999,-0.012499999999999999,1,12,Alec Mazo,Model,-0.12363297751259505,1,Balanced
5,Marie Osmond,10,4.5,0.3229175794319988,0.10625,0.21666757943199877,5,3,Jonathan Roberts,Singer/Rapper,2.1429806380499765,2,Fan-type
5,Mark Cuban,5,8.0,0.01265080986405202,0.0625,-0.04984919013594798,4,8,Kym Johnson,TV Personality,-0.4930403042478985,1,Balanced
5,Mel B,10,2.0,0.3229175798797483,0.13749999999999998,0.1854175798797483,0,2,Maksim Chmerkoskiy,Singer/Rapper,1.8338981986970175,2,Fan-type
5,Sabrina Bryan,6,1.8333333333333333,0.00013543632048509482,0.1395833333333333,-0.1394478970128482,0,7,Mark Ballas,Actor/Actress,-1.3792286972454508,0,Judge-type
5,Wayne Newton,3,10.333333333333334,0.02360166608023857,0.033333333333333326,-0.009731667253094756,3,10,Cheryl Burke,Singer/Rapper,-0.09625239989295374,1,Balanced
6,Adam Carolla,4,8.75,0.000136207538014225,0.053125,-0.052988792461985776,4,9,Julianne Hough,Radio Personality,-0.5240929749497804,1,Balanced
6,Cristian de la Fuente,10,4.1,0.32991061818102974,0.11125,0.21866061818102972,4,3,Cheryl Burke,Actor/Actress,2.1626930632372305,2,Fan-type
6,Jason Taylor,10,2.8,0.3299106183219384,0.1275,0.2024106183219384,3,2,Edyta Sliwinska,Athlete,2.001970193864534,2,Fan-type
6,Kristi Yamaguchi,10,1.2,0.3299106192880525,0.1475,0.1824106192880525,0,1,Mark Ballas,Athlete,1.8041574393998667,2,Fan-type
6,Mario,8,3.375,3.1810770083706406e-05,0.1203125,-0.12028068922991629,2,5,Karina Smirnoff,Singer/Rapper,-1.189652779740934,0,Judge-type
6,Marissa Jaret Winokur,9,5.444444444444445,0.010952195480834835,0.09444444444444444,-0.0834922489636096,4,4,Tony Dovolani,Actor/Actress,-0.8257916270875147,0,Judge-type
6,Marlee Matlin,6,5.5,0.00016069814010056667,0.09375,-0.09358930185989943,3,7,Fabian Sanchez,Actor/Actress,-0.9256579241811534,0,Judge-type
6,Monica Seles,2,11.5,7.843464088830143e-05,0.01875,-0.018671565359111696,2,11,Jonathan Roberts,Athlete,-0.18467369761344044,1,Balanced
6,Penn Jillette,2,10.0,7.843464304539242e-05,0.0375,-0.03742156535695461,2,12,Kym Johnson,Magician,-0.37012316386099803,1,Balanced
6,Priscilla Presley,5,5.2,0.00013999421499825377,0.0975,-0.09736000578500174,2,8,Louis van Amstel,Actor/Actress,-0.9629525924674597,0,Judge-type
6,Shannon Elizabeth,7,4.428571428571429,0.0001842529864742318,0.10714285714285714,-0.1069586041563829,3,6,Derek Hough,Actor/Actress,-1.0578888561955715,0,Judge-type
6,Steve Guttenberg,3,8.333333333333334,1.4899020256650672e-05,0.05833333333333332,-0.05831843431307667,3,10,Anna Trebunskaya,Actor/Actress,-0.5768065342398688,1,Balanced
7,Brooke Burke,10,1.2,0.3259890560915556,0.1476923076923077,0.1782967483992479,0,1,Derek Hough,TV Personality,1.7634686308330427,2,Fan-type
7,Cloris Leachman,6,8.5,0.009769039916867733,0.06346153846153846,-0.05369249854467072,5,7,Corky Ballas,Actor/Actress,-0.5310530772134655,1,Balanced
7,Cody Linley,9,4.333333333333333,0.009638666412847455,0.11153846153846156,-0.1018997951256141,4,4,Julianne Hough,Actor/Actress,-1.0078540063442474,0,Judge-type
7,Jeffrey Ross,1,13.0,0.0257920958814709,0.011538461538461539,0.014253634343009362,1,13,Edyta Sliwinska,Comedian,0.14097754033616233,1,Balanced
7,Kim Kardashian,2,8.5,0.0008261322487212503,0.06346153846153846,-0.06263540621281721,2,11,Mark Ballas,TV Personality,-0.619504141424119,1,Balanced
7,Lance Bass,10,3.1,0.32598905608945555,0.12576923076923077,0.20021982532022478,2,3,Lacey Schwimmer,Singer/Rapper,1.980301852911285,2,Fan-type
7,Maurice Greene,8,5.125,0.001573253987086875,0.10240384615384615,-0.10083059216675927,4,5,Cheryl Burke,Athlete,-0.9972789067147674,0,Judge-type
7,Misty May-Treanor,2,4.5,0.0010092153098587016,0.1096153846153846,-0.1086061693055259,0,10,Maksim Chmerkoskiy,Athlete,-1.074184326998334,0,Judge-type
7,Rocco DiSpirito,4,9.5,0.0053792087198215755,0.05192307692307692,-0.046543868203255345,4,9,Karina Smirnoff,TV Personality,-0.4603485608737805,1,Balanced
7,Susan Lucci,7,4.857142857142857,0.000811530056976725,0.10549450549450548,-0.10468297543752876,4,6,Tony Dovolani,Actor/Actress,-1.0353814358575628,0,Judge-type
7,Ted McGinley,1,8.0,2.803798736438365e-18,0.06923076923076923,-0.06923076923076923,1,12,Inna Brayer,Actor/Actress,-0.6847364908389881,1,Balanced
7,Toni Braxton,5,3.8,0.0011439420453675001,0.11769230769230768,-0.11654836564694018,1,8,Alec Mazo,Singer/Rapper,-1.152737717532629,0,Judge-type
7,Warren Sapp,10,3.0,0.3259890562572765,0.12692307692307692,0.19906597933419956,1,2,Kym Johnson,Athlete,1.9688895797238246,2,Fan-type
8,Belinda Carlisle,2,9.0,5.83592304274692e-17,0.057692307692307696,-0.05769230769230764,2,13,Jonathan Roberts,Singer/Rapper,-0.5706137423658229,1,Balanced
8,Chuck Wicks,8,5.125,0.017397444628474312,0.10240384615384615,-0.08500640152537184,2,6,Julianne Hough,Singer/Rapper,-0.8407675622570339,0,Judge-type
8,David Alan Grier,5,6.8,0.0007547170286990448,0.08307692307692308,-0.08232220604822403,2,9,Kym Johnson,Actor/Actress,-0.814219155931784,0,Judge-type
8,Denise Richards,3,7.333333333333333,3.128278520180556e-17,0.07692307692307693,-0.0769230769230769,1,12,Maksim Chmerkoskiy,Actor/Actress,-0.7608183231544309,0,Judge-type
8,Gilles Marini,11,1.6363636363636365,0.30652759943008195,0.14265734265734265,0.1638702567727393,0,2,Cheryl Burke,Actor/Actress,1.6207814216453806,2,Fan-type
8,Holly Madison,4,8.5,9.190988153532301e-12,0.06346153846153846,-0.06346153845234748,3,11,Dmitry Chaplin,TV Personality,-0.627675116511501,1,Balanced
8,Lawrence Taylor,7,7.714285714285714,0.009396526373793943,0.07252747252747252,-0.06313094615367858,6,7,Edyta Sliwinska,Athlete,-0.6244053476933275,1,Balanced
8,Lil' Kim,9,3.111111111111111,0.010667954806118044,0.12564102564102564,-0.1149730708349076,2,5,Derek Hough,Singer/Rapper,-1.1371570464868905,0,Judge-type
8,Melissa Rycroft,11,2.4545454545454546,0.30652759918367467,0.1332167832167832,0.17331081596689146,3,3,Tony Dovolani,TV Personality,1.7141545770499356,2,Fan-type
8,Shawn Johnson,11,2.272727272727273,0.3065275995012853,0.1353146853146853,0.17121291418659998,0,1,Mark Ballas,Athlete,1.6934049895598227,2,Fan-type
8,Steve Wozniak,4,11.75,0.0205692949673245,0.02596153846153846,-0.005392243494213959,4,10,Karina Smirnoff,Entrepreneur,-0.05333272949300732,1,Balanced
8,Steve-O,6,10.0,0.014818787591110083,0.046153846153846156,-0.03133505856273607,6,8,Lacey Schwimmer,TV Personality,-0.3099237272514079,1,Balanced
8,Ty Murray,10,6.0,0.04086588952389039,0.09230769230769231,-0.05144180278380192,6,4,Chelsie Hightower,Athlete,-0.5087922597421707,0,Judge-type
9,Aaron Carter,8,3.5,0.0006534243220383161,0.125,-0.12434657567796169,2,5,Karina Smirnoff,Singer/Rapper,-1.229866991564931,0,Judge-type
9,Ashley Hamiliton,1,15.0,7.959669323456351e-07,0.01,-0.009999204033067654,1,16,Edyta Sliwinska,Actor/Actress,-0.09889850938912825,1,Balanced
9,Chuck Liddell,4,9.5,1.0017875607598096e-06,0.065,-0.06499899821243925,4,11,Anna Trebunskaya,Athlete,-0.6428815747471767,1,Balanced
9,Debi Mazar,3,8.0,8.738067773096441e-07,0.08,-0.07999912619322269,2,12,Maksim Chmerkoskiy,Actor/Actress,-0.7912424135739164,1,Balanced
9,Donny Osmond,10,3.4,0.32898394318085805,0.126,0.20298394318085805,2,1,Kym Johnson,Singer/Rapper,2.007640742615752,2,Fan-type
9,Joanna Krupa,9,2.6666666666666665,0.0008233201427200621,0.13333333333333333,-0.13251001319061326,0,4,Derek Hough,Model,-1.3106085984791012,0,Judge-type
9,Kathy Ireland,2,12.5,3.0602327871056817e-07,0.034999999999999996,-0.034999693976721286,2,14,Tony Dovolani,Model,-0.3461693102697353,1,Balanced
9,Kelly Osbourne,10,4.7,0.3289839424980316,0.113,0.2159839424980316,4,3,Louis van Amstel,TV Personality,2.1362190324752612,2,Fan-type
9,Louie Vito,6,7.833333333333333,0.00324886927223985,0.08166666666666668,-0.07841779739442684,4,8,Chelsie Hightower,Athlete,-0.7756020625481927,1,Balanced
9,Macy Gray,1,15.0,7.959669323462927e-07,0.01,-0.009999204033067654,1,15,Jonathan Roberts,Singer/Rapper,-0.09889850938912825,1,Balanced
9,Mark Dacascos,7,5.714285714285714,8.72662014043202e-05,0.10285714285714284,-0.10276987665573852,3,6,Lacey Schwimmer,Actor/Actress,-1.0164596679640872,0,Judge-type
9,Melissa Joan Hart,6,7.0,0.0001009973582692649,0.09,-0.08989900264173073,5,9,Mark Ballas,Actor/Actress,-0.8891585097607856,0,Judge-type
9,Michael Irvin,7,9.857142857142858,0.010388718098742299,0.06142857142857142,-0.051039853329829125,6,7,Anna Demidova,Athlete,-0.5048167231178332,1,Balanced
9,Mya,10,1.9,0.32898394456071867,0.141,0.18798394456071868,1,2,Dmitry Chaplin,Singer/Rapper,1.85928118324834,2,Fan-type
9,Natalie Coughlin,5,5.0,0.00023283863333838057,0.10999999999999999,-0.1097671613666616,1,10,Alec Mazo,Athlete,-1.0856672794292694,0,Judge-type
9,Tom DeLay,3,12.333333333333334,0.007746768713785833,0.03666666666666666,-0.028919897952880826,3,13,Cheryl Burke,Politician,-0.28603624746200473,1,Balanced
10,Aiden Turner,4,8.25,0.004898701085552375,0.05113636363636363,-0.04623766255081126,4,9,Edyta Sliwinska,Actor/Actress,-0.4573199915503526,1,Balanced
10,Buzz Aldrin,3,10.666666666666666,0.034786612300416964,0.01818181818181819,0.016604794118598772,3,10,Ashly DelGrosso,Astronaut,0.16423201102927942,1,Balanced
10,Chad Ochocinco,9,5.111111111111111,0.016204314945968013,0.09393939393939395,-0.07773507899342594,5,4,Cheryl Burke,Athlete,-0.7688495418507224,0,Judge-type
10,Erin Andrews,10,3.0,0.3186344046940836,0.12272727272727273,0.19590713196681087,2,3,Maksim Chmerkoskiy,Sports Broadcaster,1.9376465632807778,2,Fan-type
10,Evan Lysacek,10,2.0,0.3186344029884689,0.13636363636363635,0.18227076662483255,2,2,Anna Trebunskaya,Athlete,1.8027742073065107,2,Fan-type
10,Jake Pavelka,6,5.166666666666667,0.0022673697960908503,0.09318181818181819,-0.09091444838572733,2,7,Chelsie Hightower,TV Personality,-0.899201916227409,0,Judge-type
10,Kate Gosselin,5,9.0,0.022217139289035105,0.0409090909090909,-0.018691951620055797,5,8,Tony Dovolani,TV Personality,-0.18487533074470985,1,Balanced
10,Nicole Scherzinger,10,1.2,0.3186344035171077,0.14727272727272728,0.17136167624438042,0,1,Derek Hough,Singer/Rapper,1.6948763412513663,2,Fan-type
10,Niecy Nash,8,5.625,0.004517821670671915,0.08693181818181818,-0.08241399651114627,5,5,Louis van Amstel,Actor/Actress,-0.8151270221908508,0,Judge-type
10,Pamela Anderson,7,3.857142857142857,0.0014774176655895734,0.11103896103896102,-0.10956154337337144,2,6,Damian Whitewood,Model,-1.0836335862500193,0,Judge-type
10,Shannen Doherty,2,6.0,1.0069915140994724e-19,0.0818181818181818,-0.0818181818181818,0,11,Mark Ballas,Actor/Actress,-0.8092340346278948,0,Judge-type
11,Audrina Patridge,6,3.0,0.00016384352571112705,0.12272727272727273,-0.1225634292015616,1,7,Tony Dovolani,TV Personality,-1.2122305349074562,0,Judge-type
11,Brandy,9,2.0,0.0013309756994244334,0.13636363636363635,-0.1350326606642119,1,4,Maksim Chmerkoskiy,Singer/Rapper,-1.3355591919491512,0,Judge-type
11,Bristol Palin,10,5.9,0.31845689987632625,0.08318181818181818,0.23527508169450806,9,3,Mark Ballas,TV Personality,2.3270207107528864,2,Fan-type
11,David Hasselhoff,1,10.0,7.527749425877833e-05,0.02727272727272727,-0.027197449778468493,1,12,Kym Johnson,Actor/Actress,-0.2690001357489063,1,Balanced
11,Florence Henderson,5,6.8,0.00058659226727182,0.07090909090909091,-0.07032249864181908,5,8,Corky Ballas,Actor/Actress,-0.6955343914570812,0,Judge-type
11,Jennifer Grey,10,1.6,0.31845690200865345,0.14181818181818182,0.17663872019047164,1,1,Derek Hough,Actor/Actress,1.747069673692972,2,Fan-type
11,Kurt Warner,8,4.875,0.04526036301743972,0.0971590909090909,-0.05189872789165118,3,5,Anna Trebunskaya,Athlete,-0.5133115406688641,0,Judge-type
11,Kyle Massey,10,3.7,0.3184569024470587,0.11318181818181819,0.20527508426524052,2,2,Lacey Schwimmer,Actor/Actress,2.030301590148843,2,Fan-type
11,Margaret Cho,3,9.666666666666666,0.0007448973637346001,0.03181818181818183,-0.03107328445444723,3,10,Louis van Amstel,Comedian,-0.3073346142559315,1,Balanced
11,Michael Bolton,2,10.0,0.0006891852056343,0.02727272727272727,-0.026583542067092972,2,11,Chelsie Hightower,Singer/Rapper,-0.26292819668688244,1,Balanced
11,Rick Fox,7,3.7142857142857144,0.008998268676024171,0.11298701298701297,-0.1039887443109888,1,6,Cheryl Burke,Athlete,-1.028515046957078,0,Judge-type
11,The Situation,4,8.75,0.000409757006437675,0.04431818181818182,-0.043908424811744146,4,9,Karina Smirnoff,TV Personality,-0.4342823437891068,1,Balanced
12,Chelsea Kane,10,2.3,0.32443870568600597,0.13227272727272726,0.1921659784132787,1,3,Mark Ballas,Actor/Actress,1.9006441670283771,2,Fan-type
12,Chris Jericho,6,4.0,4.000390412638551e-05,0.10909090909090909,-0.1090509051867827,1,7,Cheryl Burke,Athlete,-1.0785830486948513,0,Judge-type
12,Hines Ward,10,1.7,0.3244387064730162,0.14045454545454544,0.18398416101847076,0,1,Kym Johnson,Athlete,1.819720771349621,2,Fan-type
12,Kendra Wilkinson,7,5.714285714285714,0.010582219832705885,0.0857142857142857,-0.07513206588157982,5,6,Louis van Amstel,TV Personality,-0.7431040809289735,0,Judge-type
12,Kirstie Alley,10,4.2,0.3244387068068784,0.10636363636363637,0.21807507044324204,5,2,Maksim Chmerkoskiy,Actor/Actress,2.156901622413354,2,Fan-type
12,Mike Catherwood,2,10.0,0.00010252995612653747,0.02727272727272727,-0.027170197316600735,2,11,Lacey Schwimmer,Radio Personality,-0.26873059150848555,1,Balanced
12,Petra Nemcova,5,5.0,1.1784075677427594e-05,0.09545454545454544,-0.09544276137886802,3,8,Dmitry Chaplin,Model,-0.9439898217034853,0,Judge-type
12,Ralph Macchio,9,3.7777777777777777,0.020322779368955865,0.11212121212121211,-0.09179843275225624,4,4,Karina Smirnoff,Actor/Actress,-0.9079450857720933,0,Judge-type
12,Romeo,8,3.75,0.0009694392790355227,0.11249999999999999,-0.11153056072096447,3,5,Chelsie Hightower,Singer/Rapper,-1.1031084244465694,0,Judge-type
12,Sugar Ray Leonard,4,8.5,0.00014845981021957574,0.04772727272727272,-0.04757881291705315,4,9,Anna Trebunskaya,Athlete,-0.47058482459599993,1,Balanced
12,Wendy Williams,3,9.666666666666666,0.0003349666676290333,0.03181818181818183,-0.031483215150552794,3,10,Tony Dovolani,TV Personality,-0.31138909045859886,1,Balanced
13,Carson Kressley,5,8.2,0.01147799080546966,0.06000000000000001,-0.048522009194530355,5,8,Anna Trebunskaya,TV Personality,-0.4799136377290642,1,Balanced
13,Chaz Bono,6,8.0,0.02157957562036045,0.0625,-0.04092042437963955,6,7,Lacey Schwimmer,TV Personality,-0.4047291125707059,1,Balanced
13,Chynna Phillips,4,3.25,1.1639753208491605e-18,0.121875,-0.121875,1,9,Tony Dovolani,Singer/Rapper,-1.2054215307478018,0,Judge-type
13,David Arquette,7,5.0,0.008775382153210186,0.09999999999999999,-0.09122461784678981,2,6,Kym Johnson,Actor/Actress,-0.9022696901477795,0,Judge-type
13,Elisabetta Canalis,2,7.5,2.6487341944694457e-19,0.06874999999999999,-0.06874999999999999,1,11,Valentin Chmerkovskiy,Actor/Actress,-0.6799813763192728,1,Balanced
13,Hope Solo,9,4.111111111111111,0.009302493187526857,0.11111111111111112,-0.10180861792358425,3,4,Maksim Chmerkoskiy,Athlete,-1.0069522056267899,0,Judge-type
13,J.R. Martinez,10,1.9,0.3188512436365434,0.13874999999999998,0.1801012436365434,2,1,Karina Smirnoff,Actor/Actress,1.781316240360574,2,Fan-type
13,Kristin Cavallari,3,3.6666666666666665,2.0811599514038163e-18,0.11666666666666667,-0.11666666666666667,0,10,Mark Ballas,TV Personality,-1.1539077901175538,0,Judge-type
13,Metta World Peace (Ron),1,12.0,8.877863891389847e-06,0.012499999999999999,-0.012491122136108609,1,12,Peta Murgatroyd,Athlete,-0.12354516977284753,1,Balanced
13,Nancy Grace,8,6.0,0.012804538188784211,0.08750000000000001,-0.0746954618112158,6,5,Tristan MacManus,TV Personality,-0.7387857880319156,0,Judge-type
13,Ricki Lake,10,1.9,0.31885124421579636,0.13874999999999998,0.18010124421579637,1,3,Derek Hough,Actor/Actress,1.7813162460897556,2,Fan-type
13,Rob Kardashian,10,3.6,0.3188512416592711,0.1175,0.2013512416592711,3,2,Cheryl Burke,TV Personality,1.9914922825755006,2,Fan-type
14,Donald Driver,10,3.6,0.32589098781113696,0.1175,0.20839098781113696,2,1,Peta Murgatroyd,Athlete,2.0611198647905415,2,Fan-type
14,Gavin DeGraw,5,7.8,0.00048939665407214,0.065,-0.06451060334592786,4,9,Karina Smirnoff,Singer/Rapper,-0.6380510378232831,1,Balanced
14,Gladys Knight,6,7.833333333333333,0.004002209067454316,0.06458333333333334,-0.06058112426587903,5,8,Tristan MacManus,Singer/Rapper,-0.5991859819240919,1,Balanced
14,Jack Wagner,3,6.333333333333333,1.6835560107570964e-05,0.08333333333333333,-0.08331649777322576,2,11,Anna Trebunskaya,Actor/Actress,-0.8240533356500318,0,Judge-type
14,Jaleel White,7,4.714285714285714,0.0005148127383085857,0.10357142857142855,-0.10305661583311997,4,7,Kym Johnson,Actor/Actress,-1.0192957014256214,0,Judge-type
14,Katherine Jenkins,10,1.9,0.3258909886496845,0.13874999999999998,0.18714098864968454,1,2,Mark Ballas,Singer/Rapper,1.8509438113129004,2,Fan-type
14,Maria Menounos,9,3.5555555555555554,0.008624056122561756,0.11805555555555555,-0.1094314994329938,3,4,Derek Hough,TV Personality,-1.0823473686855105,0,Judge-type
14,Martina Navratilova,2,11.0,1.6419733682524614e-18,0.024999999999999998,-0.024999999999999998,2,12,Tony Dovolani,Athlete,-0.2472659550251901,1,Balanced
14,Melissa Gilbert,8,7.375,0.014413015658396176,0.0703125,-0.05589948434160383,8,5,Maksim Chmerkoskiy,Actor/Actress,-0.5528815752456933,1,Balanced
14,Roshon Fegan,8,3.875,2.1891253406597898e-05,0.11406249999999998,-0.11404060874659339,2,6,Chelsie Hightower,Actor/Actress,-1.1279344013352186,0,Judge-type
14,Sherri Sheperd,4,6.5,1.5039082322468532e-05,0.08124999999999999,-0.08123496091767753,2,10,Valentin Chmerkovskiy,Actor/Actress,-0.8034656077097412,0,Judge-type
14,William Levy,10,2.6,0.32589098851414455,0.13,0.19589098851414455,1,3,Cheryl Burke,Actor/Actress,1.93748689423114,2,Fan-type
15,Apolo Anton Ohno,9,3.6666666666666665,0.0005035737823278713,0.11923076923076924,-0.11872719544844136,2,5,Karina Smirnoff,Athlete,-1.1742877348008505,0,Judge-type
15,Bristol Palin,4,10.5,0.013636561546932699,0.04038461538461538,-0.02674805383768268,4,9,Mark Ballas,TV Personality,-0.2645553230895924,1,Balanced
15,Drew Lachey,3,7.333333333333333,0.0050803161700771335,0.07692307692307693,-0.07184276075299979,2,11,Anna Trebunskaya,Singer/Rapper,-0.7105707539694697,0,Judge-type
15,Emmitt Smith,9,5.333333333333333,0.012911574842934889,0.1,-0.08708842515706512,5,4,Cheryl Burke,Athlete,-0.86136010472406,0,Judge-type
