celebrity_name,ballroom_partner,industry,home_state,home_country,age,season,results,final_placement,industry_clean,home_clean,placement_numeric
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,Actor/Actress,"South Carolina, United States",4
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,Actor/Actress,"Pennsylvania, United States",3
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,Actor/Actress,"California, United States",2
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,Athlete,"Florida, United States",1
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,Eliminated Week 2,10,Model,"Rhode Island, United States",10
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,Singer/Rapper,"Florida, United States",7
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,Singer/Rapper,"Missouri, United States",6
Jerry Springer,Kym Johnson,TV Personality,,England,62,3,Eliminated Week 7,5,TV Personality,England,5
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,Eliminated Week 1,11,TV Personality,"California, United States",11
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,Eliminated Week 7,6,Actor/Actress,"Connecticut, United States",6
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,Actor/Actress,"New Jersey, United States",4
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,Eliminated Week 5,8,Athlete,"Louisiana, United States",8
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,Athlete,"Florida, United States",3
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,Athlete,"Washington, United States",1
Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,Eliminated Week 3,10,Beauty Pagent,"Missouri, United States",10
Paulina Porizkova,Alec Mazo,Model,,Czechoslovakia,41,4,Eliminated Week 2,11,Model,Czechoslovakia,11
Heather Mills,Jonathan Roberts,Model,,England,39,4,Eliminated Week 6,7,Model,England,7
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,4,Eliminated Week 8,5,Singer/Rapper,"Kentucky, United States",5
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,4,2nd Place,2,Singer/Rapper,"New York, United States",2
Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,4,Eliminated Week 4,9,TV Personality,"South Carolina, United States",9
Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,5,Eliminated Week 8,5,Actor/Actress,Canada,5
Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,5,Eliminated Week 7,6,Actor/Actress,England,6
Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,5,Eliminated Week 6,7,Actor/Actress,"California, United States",7
Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,5,Eliminated Week 9,4,Actor/Actress,"Illinois, United States",4
Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,5,Eliminated Week 4,9,Athlete,"Michigan, United States",9
Josie Maran,Alec Mazo,Model,California,United States,29,5,Eliminated Week 1,12,Model,"California, United States",12
Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,5,Eliminated Week 2,11,Model,"Florida, United States",11
Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,5,1st Place,1,Racing Driver,Brazil,1
Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,5,2nd Place,2,Singer/Rapper,England,2
Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,5,Eliminated Week 3,10,Singer/Rapper,"Virginia, United States",10
Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,5,3rd Place,3,Singer/Rapper,"Utah, United States",3
Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,5,Eliminated Week 5,8,TV Personality,"Pennsylvania, United States",8
Cristian de la Fuente,Cheryl Burke,Actor/Actress,,Chile,34,6,3rd Place,3,Actor/Actress,Chile,3
Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,6,Eliminated Week 3,10,Actor/Actress,"New York, United States",10
Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,6,Eliminated Week 5,8,Actor/Actress,"New York, United States",8
Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,6,Eliminated Week 6,7,Actor/Actress,"Illinois, United States",7
Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,6,Eliminated Week 7,6,Actor/Actress,"Texas, United States",6
Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,6,Eliminated Week 9,4,Actor/Actress,"New York, United States",4
Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,6,2nd Place,2,Athlete,"Pennsylvania, United States",2
Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,6,1st Place,1,Athlete,"California, United States",1
Monica Seles,Jonathan Roberts,Athlete,,Yugoslavia,34,6,Eliminated Week 2,11,Athlete,Yugoslavia,11
Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,6,Eliminated Week 2,12,Magician,"Massachusetts, United States",12
Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,6,Eliminated Week 4,9,Radio Personality,"California, United States",9
Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,6,Eliminated Week 8,5,Singer/Rapper,"Maryland, United States",5
Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,7,Eliminated Week 1,12,Actor/Actress,"California, United States",12
Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,7,Eliminated Week 6,7,Actor/Actress,"Iowa, United States",7
Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,7,Eliminated Week 7,6,Actor/Actress,"New York, United States",6
Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,7,Eliminated Week 9,4,Actor/Actress,"Texas, United States",4
Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,7,Withdrew,10,Athlete,"California, United States",10
Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,7,Eliminated Week 8,5,Athlete,"Kansas, United States",5
Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,7,2nd Place,2,Athlete,"Florida, United States",2
Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,7,Eliminated Week 1,13,Comedian,"New Jersey, United States",13
Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,7,Eliminated Week 5,8,Singer/Rapper,"Maryland, United States",8
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3rd Place,3,Singer/Rapper,"Mississippi, United States",3
Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,7,Eliminated Week 2,11,TV Personality,"California, United States",11
Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,7,Eliminated Week 4,9,TV Personality,"New York, United States",9
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1st Place,1,TV Personality,"Connecticut, United States",1
Gilles Marini,Cheryl Burke,Actor/Actress,,France,33,8,2nd Place,2,Actor/Actress,France,2
Denise Richards,Maksim Chmerkoskiy,Actor/Actress,Illinois,United States,38,8,Eliminated Week 3,12,Actor/Actress,"Illinois, United States",12
David Alan Grier,Kym Johnson,Actor/Actress,Michigan,United States,52,8,Eliminated Week 5,9,Actor/Actress,"Michigan, United States",9
Lawrence Taylor,Edyta Sliwinska,Athlete,Virginia,United States,50,8,Eliminated Week 7,7,Athlete,"Virginia, United States",7
Ty Murray,Chelsie Hightower,Athlete,Arizona,United States,39,8,Eliminated Week 10,4,Athlete,"Arizona, United States",4
Shawn Johnson,Mark Ballas,Athlete,Iowa,United States,17,8,1st Place,1,Athlete,"Iowa, United States",1
Steve Wozniak,Karina Smirnoff,Entrepreneur,California,United States,58,8,Eliminated Week 4,10,Entrepreneur,"California, United States",10
Belinda Carlisle,Jonathan Roberts,Singer/Rapper,California,United States,50,8,Eliminated Week 2,13,Singer/Rapper,"California, United States",13
Chuck Wicks,Julianne Hough,Singer/Rapper,Delaware,United States,29,8,Eliminated Week 8,6,Singer/Rapper,"Delaware, United States",6
Lil' Kim,Derek Hough,Singer/Rapper,New York,United States,34,8,Eliminated Week 9,5,Singer/Rapper,"New York, United States",5
Steve-O,Lacey Schwimmer,TV Personality,,England,34,8,Eliminated Week 6,8,TV Personality,England,8
Holly Madison,Dmitry Chaplin,TV Personality,Oregon,United States,30,8,Eliminated Week 4,11,TV Personality,"Oregon, United States",11
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,26,8,3rd Place,3,TV Personality,"Texas, United States",3
Ashley Hamiliton,Edyta Sliwinska,Actor/Actress,California,United States,34,9,Eliminated Week 1,16,Actor/Actress,"California, United States",16
Debi Mazar,Maksim Chmerkoskiy,Actor/Actress,New York,United States,45,9,Eliminated Week 3,12,Actor/Actress,"New York, United States",12
Melissa Joan Hart,Mark Ballas,Actor/Actress,New York,United States,33,9,Eliminated Week 6,9,Actor/Actress,"New York, United States",9
Mark Dacascos,Lacey Schwimmer,Actor/Actress,Hawaii,United States,45,9,Eliminated Week 7,6,Actor/Actress,"Hawaii, United States",6
Chuck Liddell,Anna Trebunskaya,Athlete,California,United States,39,9,Eliminated Week 4,11,Athlete,"California, United States",11
Natalie Coughlin,Alec Mazo,Athlete,California,United States,27,9,Eliminated Week 5,10,Athlete,"California, United States",10
Louie Vito,Chelsie Hightower,Athlete,Ohio,United States,21,9,Eliminated Week 6,8,Athlete,"Ohio, United States",8
Michael Irvin,Anna Demidova,Athlete,Florida,United States,43,9,Eliminated Week 7,7,Athlete,"Florida, United States",7
Joanna Krupa,Derek Hough,Model,,Poland,30,9,Eliminated Week 9,4,Model,Poland,4
Kathy Ireland,Tony Dovolani,Model,California,United States,46,9,Eliminated Week 2,14,Model,"California, United States",14
Tom DeLay,Cheryl Burke,Politician,Texas,United States,62,9,Withdrew,13,Politician,"Texas, United States",13
Macy Gray,Jonathan Roberts,Singer/Rapper,Ohio,United States,42,9,Eliminated Week 1,15,Singer/Rapper,"Ohio, United States",15
Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,9,Eliminated Week 8,5,Singer/Rapper,"Florida, United States",5
Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,9,2nd Place,2,Singer/Rapper,"Washington D.C., United States",2
Donny Osmond,Kym Johnson,Singer/Rapper,Utah,United States,51,9,1st Place,1,Singer/Rapper,"Utah, United States",1
Kelly Osbourne,Louis van Amstel,TV Personality,,England,24,9,3rd Place,3,TV Personality,England,3
Aiden Turner,Edyta Sliwinska,Actor/Actress,,England,32,10,Eliminated Week 4,9,Actor/Actress,England,9
Shannen Doherty,Mark Ballas,Actor/Actress,Tennessee,United States,38,10,Eliminated Week 2,11,Actor/Actress,"Tennessee, United States",11
Niecy Nash,Louis van Amstel,Actor/Actress,California,United States,40,10,Eliminated Week 8,5,Actor/Actress,"California, United States",5
Buzz Aldrin,Ashly DelGrosso,Astronaut,New Jersey,United States,80,10,Eliminated Week 3,10,Astronaut,"New Jersey, United States",10
Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,10,Eliminated Week 9,4,Athlete,"Florida, United States",4
Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,10,2nd Place,2,Athlete,"Illinois, United States",2
Pamela Anderson,Damian Whitewood,Model,,Canada,42,10,Eliminated Week 7,6,Model,Canada,6
Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,10,1st Place,1,Singer/Rapper,"Hawaii, United States",1
Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,10,3rd Place,3,Sports Broadcaster,"Maine, United States",3
Kate Gosselin,Tony Dovolani,TV Personality,Pennsylvania,United States,35,10,Eliminated Week 5,8,TV Personality,"Pennsylvania, United States",8
Jake Pavelka,Chelsie Hightower,TV Personality,Texas,United States,32,10,Eliminated Week 6,7,TV Personality,"Texas, United States",7
David Hasselhoff,Kym Johnson,Actor/Actress,Maryland,United States,58,11,Eliminated Week 1,12,Actor/Actress,"Maryland, United States",12
Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,11,Eliminated Week 5,8,Actor/Actress,"Indiana, United States",8
Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,11,2nd Place,2,Actor/Actress,"Georgia, United States",2
Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,11,1st Place,1,Actor/Actress,"New York, United States",1
Rick Fox,Cheryl Burke,Athlete,,Canada,41,11,Eliminated Week 7,6,Athlete,Canada,6
Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,11,Eliminated Week 8,5,Athlete,"Iowa, United States",5
Margaret Cho,Louis van Amstel,Comedian,California,United States,41,11,Eliminated Week 3,10,Comedian,"California, United States",10
Michael Bolton,Chelsie Hightower,Singer/Rapper,Connecticut,United States,57,11,Eliminated Week 2,11,Singer/Rapper,"Connecticut, United States",11
Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,11,Eliminated Week 9,4,Singer/Rapper,"Mississippi, United States",4
The Situation,Karina Smirnoff,TV Personality,New York,United States,28,11,Eliminated Week 4,9,TV Personality,"New York, United States",9
Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,11,Eliminated Week 6,7,TV Personality,"California, United States",7
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,11,3rd Place,3,TV Personality,"Alaska, United States",3
Ralph Macchio,Karina Smirnoff,Actor/Actress,New York,United States,49,12,Eliminated Week 9,4,Actor/Actress,"New York, United States",4
Chelsea Kane,Mark Ballas,Actor/Actress,Arizona,United States,22,12,3rd Place,3,Actor/Actress,"Arizona, United States",3
Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,60,12,2nd Place,2,Actor/Actress,"Kansas, United States",2
Hines Ward,Kym Johnson,Athlete,,South Korea,35,12,1st Place,1,Athlete,South Korea,1
Sugar Ray Leonard,Anna Trebunskaya,Athlete,North Carolina,United States,54,12,Eliminated Week 4,9,Athlete,"North Carolina, United States",9
Chris Jericho,Cheryl Burke,Athlete,New York,United States,40,12,Eliminated Week 6,7,Athlete,"New York, United States",7
Petra Nemcova,Dmitry Chaplin,Model,,Czechoslovakia,31,12,Eliminated Week 5,8,Model,Czechoslovakia,8
Mike Catherwood,Lacey Schwimmer,Radio Personality,California,United States,32,12,Eliminated Week 2,11,Radio Personality,"California, United States",11
Romeo,Chelsie Hightower,Singer/Rapper,Louisiana,United States,21,12,Eliminated Week 8,5,Singer/Rapper,"Louisiana, United States",5
Wendy Williams,Tony Dovolani,TV Personality,New Jersey,United States,46,12,Eliminated Week 3,10,TV Personality,"New Jersey, United States",10
Kendra Wilkinson,Louis van Amstel,TV Personality,California,United States,25,12,Eliminated Week 7,6,TV Personality,"California, United States",6
Elisabetta Canalis,Valentin Chmerkovskiy,Actor/Actress,,Italy,33,13,Eliminated Week 2,11,Actor/Actress,Italy,11
David Arquette,Kym Johnson,Actor/Actress,Virginia,United States,40,13,Eliminated Week 7,6,Actor/Actress,"Virginia, United States",6
Ricki Lake,Derek Hough,Actor/Actress,New York,United States,42,13,3rd Place,3,Actor/Actress,"New York, United States",3
J.R. Martinez,Karina Smirnoff,Actor/Actress,Louisiana,United States,28,13,1st Place,1,Actor/Actress,"Louisiana, United States",1
Metta World Peace (Ron),Peta Murgatroyd,Athlete,New York,United States,31,13,Eliminated Week 1,12,Athlete,"New York, United States",12
Hope Solo,Maksim Chmerkoskiy,Athlete,Washington,United States,30,13,Eliminated Week 9,4,Athlete,"Washington, United States",4
Chynna Phillips,Tony Dovolani,Singer/Rapper,California,United States,43,13,Eliminated Week 4,9,Singer/Rapper,"California, United States",9
Kristin Cavallari,Mark Ballas,TV Personality,Colorado,United States,24,13,Eliminated Week 3,10,TV Personality,"Colorado, United States",10
Carson Kressley,Anna Trebunskaya,TV Personality,Pennsylvania,United States,41,13,Eliminated Week 5,8,TV Personality,"Pennsylvania, United States",8
Chaz Bono,Lacey Schwimmer,TV Personality,California,United States,42,13,Eliminated Week 6,7,TV Personality,"California, United States",7
Nancy Grace,Tristan MacManus,TV Personality,Georgia,United States,51,13,Eliminated Week 8,5,TV Personality,"Georgia, United States",5
Rob Kardashian,Cheryl Burke,TV Personality,California,United States,24,13,2nd Place,2,TV Personality,"California, United States",2
William Levy,Cheryl Burke,Actor/Actress,,Cuba,31,14,3rd Place,3,Actor/Actress,Cuba,3
Jack Wagner,Anna Trebunskaya,Actor/Actress,Missouri,United States,52,14,Eliminated Week 3,11,Actor/Actress,"Missouri, United States",11
Sherri Sheperd,Valentin Chmerkovskiy,Actor/Actress,Illinois,United States,44,14,Eliminated Week 4,10,Actor/Actress,"Illinois, United States",10
Jaleel White,Kym Johnson,Actor/Actress,California,United States,35,14,Eliminated Week 7,7,Actor/Actress,"California, United States",7
Roshon Fegan,Chelsie Hightower,Actor/Actress,California,United States,20,14,Eliminated Week 8,6,Actor/Actress,"California, United States",6
Melissa Gilbert,Maksim Chmerkoskiy,Actor/Actress,California,United States,47,14,Eliminated Week 8,5,Actor/Actress,"California, United States",5
Martina Navratilova,Tony Dovolani,Athlete,,Czechoslovakia,55,14,Eliminated Week 2,12,Athlete,Czechoslovakia,12
Donald Driver,Peta Murgatroyd,Athlete,Texas,United States,37,14,1st Place,1,Athlete,"Texas, United States",1
Gavin DeGraw,Karina Smirnoff,Singer/Rapper,New York,United States,35,14,Eliminated Week 5,9,Singer/Rapper,"New York, United States",9
Gladys Knight,Tristan MacManus,Singer/Rapper,Georgia,United States,67,14,Eliminated Week 6,8,Singer/Rapper,"Georgia, United States",8
Katherine Jenkins,Mark Ballas,Singer/Rapper,,Wales,31,14,2nd Place,2,Singer/Rapper,Wales,2
Maria Menounos,Derek Hough,TV Personality,Massachusetts,United States,33,14,Eliminated Week 9,4,TV Personality,"Massachusetts, United States",4
Gilles Marini,Peta Murgatroyd,Actor/Actress,,France,36,15,Eliminated Week 8,6,Actor/Actress,France,6
Sabrina Bryan,Louis van Amstel,Actor/Actress,California,United States,28,15,Eliminated Week 6,8,Actor/Actress,"California, United States",8
Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,61,15,Eliminated Week 8,7,Actor/Actress,"Kansas, United States",7
Kelly Monaco,Valentin Chmerkovskiy,Actor/Actress,Pennsylvania,United States,36,15,3rd Place,3,Actor/Actress,"Pennsylvania, United States",3
Apolo Anton Ohno,Karina Smirnoff,Athlete,Washington,United States,30,15,Eliminated Week 9,5,Athlete,"Washington, United States",5
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,43,15,Eliminated Week 9,4,Athlete,"Florida, United States",4
Shawn Johnson,Derek Hough,Athlete,Iowa,United States,20,15,2nd Place,2,Athlete,"Iowa, United States",2
Pamela Anderson,Tristan MacManus,Model,,Canada,45,15,Eliminated Week 1,13,Model,Canada,13
Helio Castroneves,Chelsie Hightower,Racing Driver,,Brazil,37,15,Eliminated Week 3,10,Racing Driver,Brazil,10
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,35,15,Eliminated Week 2,12,Singer/Rapper,"New York, United States",12
Drew Lachey,Anna Trebunskaya,Singer/Rapper,Ohio,United States,36,15,Eliminated Week 3,11,Singer/Rapper,"Ohio, United States",11
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,21,15,Eliminated Week 4,9,TV Personality,"Alaska, United States",9
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,29,15,1st Place,1,TV Personality,"Texas, United States",1
Ingo Rademacher,Kym Johnson,Actor/Actress,,Germany,41,16,Eliminated Week 9,5,Actor/Actress,Germany,5
Zendaya,Valentin Chmerkovskiy,Actor/Actress,California,United States,16,16,2nd Place,2,Actor/Actress,"California, United States",2
Dorothy Hamill,Tristan MacManus,Athlete,Illinois,United States,56,16,Withdrew,12,Athlete,"Illinois, United States",12
Victor Ortiz,Lindsay Arnold,Athlete,Kansas,United States,26,16,Eliminated Week 6,8,Athlete,"Kansas, United States",8
Alexandra Raisman,Mark Ballas,Athlete,Massachusetts,United States,18,16,Eliminated Week 10,4,Athlete,"Massachusetts, United States",4
Jacoby Jones,Karina Smirnoff,Athlete,Louisiana,United States,28,16,3rd Place,3,Athlete,"Louisiana, United States",3
D. L. Hughley,Cheryl Burke,Comedian,Virginia,United States,50,16,Eliminated Week 5,9,Comedian,"Virginia, United States",9
Andy Dick,Sharna Burgess,Comedian,South Carolina,United States,47,16,Eliminated Week 7,7,Comedian,"South Carolina, United States",7
Wynonna Judd,Tony Dovolani,Singer/Rapper,Kentucky,United States,48,16,Eliminated Week 3,11,Singer/Rapper,"Kentucky, United States",11
Kellie Pickler,Derek Hough,Singer/Rapper,North Carolina,United States,26,16,1st Place,1,Singer/Rapper,"North Carolina, United States",1
Lisa Vanderpump,Gleb Savchenko,TV Personality,,England,52,16,Eliminated Week 4,10,TV Personality,England,10
Sean Lowe,Peta Murgatroyd,TV Personality,Texas,United States,29,16,Eliminated Week 8,6,TV Personality,"Texas, United States",6
Valerie Harper,Tristan MacManus,Actor/Actress,New York,United States,74,17,Eliminated Week 4,10,Actor/Actress,"New York, United States",10
Brant Daugherty,Peta Murgatroyd,Actor/Actress,Ohio,United States,28,17,Eliminated Week 8,7,Actor/Actress,"Ohio, United States",7
Elizabeth Berkley Lauren,Valentin Chmerkovskiy,Actor/Actress,Michigan,United States,39,17,Eliminated Week 9,6,Actor/Actress,"Michigan, United States",6
Leah Remini,Tony Dovolani,Actor/Actress,New York,United States,43,17,Eliminated Week 10,5,Actor/Actress,"New York, United States",5
Corbin Bleu,Karina Smirnoff,Actor/Actress,New York,United States,24,17,2nd Place,2,Actor/Actress,"New York, United States",2
Amber Riley,Derek Hough,Actor/Actress,California,United States,27,17,1st Place,1,Actor/Actress,"California, United States",1
Keyshawn Johnson,Sharna Burgess,Athlete,California,United States,41,17,Eliminated Week 2,12,Athlete,"California, United States",12
Bill Engvall,Emma Slater,Comedian,Texas,United States,56,17,Eliminated Week 11,4,Comedian,"Texas, United States",4
Christina Milian,Mark Ballas,Singer/Rapper,New Jersey,United States,31,17,Eliminated Week 5,9,Singer/Rapper,"New Jersey, United States",9
"Nicole ""Snooki"" Polizzi",Sasha Farber,TV Personality,,Chile,25,17,Eliminated Week 7,8,TV Personality,Chile,8
Jack Osbourne,Cheryl Burke,TV Personality,,England,27,17,3rd Place,3,TV Personality,England,3
Bill Nye,Tyne Stecklein,TV Personality,Washington D.C.,United States,57,17,Eliminated Week 3,11,TV Personality,"Washington D.C., United States",11
Billy Dee Williams,Emma Slater,Actor/Actress,New York,United States,76,18,Withdrew,10,Actor/Actress,"New York, United States",10
Danica McKellar,Valentin Chmerkovskiy,Actor/Actress,California,United States,39,18,Eliminated Week 8,6,Actor/Actress,"California, United States",6
James Maslow,Peta Murgatroyd,Actor/Actress,New York,United States,23,18,Eliminated Week 10,4,Actor/Actress,"New York, United States",4
Candace Cameron Bure,Mark Ballas,Actor/Actress,California,United States,37,18,3rd Place,3,Actor/Actress,"California, United States",3
Sean Avery,Karina Smirnoff,Athlete,,Canada,33,18,Eliminated Week 2,11,Athlete,Canada,11
Diana Nyad,Henry Byalikov,Athlete,New York,United States,64,18,Eliminated Week 2,12,Athlete,"New York, United States",12
Charlie White,Sharna Burgess,Athlete,Michigan,United States,26,18,Eliminated Week 9,5,Athlete,"Michigan, United States",5
Amy Purdy,Derek Hough,Athlete,Nevada,United States,34,18,2nd Place,2,Athlete,"Nevada, United States",2
Meryl Davis,Maksim Chmerkoskiy,Athlete,Michigan,United States,27,18,1st Place,1,Athlete,"Michigan, United States",1
Drew Carey,Cheryl Burke,Comedian,Ohio,United States,55,18,Eliminated Week 6,8,Comedian,"Ohio, United States",8
Cody Simpson,Witney Carson,Singer/Rapper,,Australia,17,18,Eliminated Week 5,9,Singer/Rapper,Australia,9
NeNe Leakes,Tony Dovolani,TV Personality,New York,United States,46,18,Eliminated Week 7,7,TV Personality,"New York, United States",7
Antonio Sabato Jr.,Cheryl Burke,Actor/Actress,,Italy,42,19,Eliminated Week 7,8,Actor/Actress,Italy,8
Jonathan Bennett,Allison Holker,Actor/Actress,Ohio,United States,33,19,Eliminated Week 6,9,Actor/Actress,"Ohio, United States",9
Lea Thompson,Artem Chigvintsev,Actor/Actress,Minnesota,United States,53,19,Eliminated Week 9,6,Actor/Actress,"Minnesota, United States",6
Janel Parrish,Valentin Chmerkovskiy,Actor/Actress,Hawaii,United States,25,19,3rd Place,3,Actor/Actress,"Hawaii, United States",3
Alfonso Ribeiro,Witney Carson,Actor/Actress,New York,United States,42,19,1st Place,1,Actor/Actress,"New York, United States",1
Lolo Jones,Keo Motsepe,Athlete,Iowa,United States,32,19,Eliminated Week 1,13,Athlete,"Iowa, United States",13
Randy Couture,Karina Smirnoff,Athlete,Washington,United States,51,19,Eliminated Week 3,11,Athlete,"Washington, United States",11
