season,week,celebrity_name,ballroom_partner,judge_avg_score,judge_total,age,industry_clean,home_state_clean,home_country_clean
4,1,Laila Ali,Maksim Chmerkoskiy,7.666666666666667,23.0,29,Athlete,Florida,United States
4,1,Leeza Gibbons,Tony Dovolani,5.0,15.0,50,TV Personality,South Carolina,United States
4,1,Paulina Porizkova,Alec Mazo,6.333333333333333,19.0,41,Model,Unknown,Czechoslovakia
4,1,Shandi Finnessey,Brian Fortuna,6.333333333333333,19.0,28,Beauty Pagent,Missouri,United States
4,2,Apolo Anton Ohno,Julianne Hough,8.666666666666666,26.0,24,Athlete,Washington,United States
4,2,Billy Ray Cyrus,Karina Smirnoff,7.0,21.0,45,Singer/Rapper,Kentucky,United States
4,2,Clyde Drexler,Elena Grinenko,6.0,18.0,44,Athlete,Louisiana,United States
4,2,Heather Mills,Jonathan Roberts,8.0,24.0,39,Model,Unknown,England
4,2,Ian Ziering,Cheryl Burke,7.333333333333333,22.0,42,Actor/Actress,New Jersey,United States
4,2,Joey Fatone,Kym Johnson,8.0,24.0,30,Singer/Rapper,New York,United States
4,2,John Ratzenberger,Edyta Sliwinska,7.0,21.0,59,Actor/Actress,Connecticut,United States
4,2,Laila Ali,Maksim Chmerkoskiy,9.0,27.0,29,Athlete,Florida,United States
4,2,Leeza Gibbons,Tony Dovolani,7.0,21.0,50,TV Personality,South Carolina,United States
4,2,Paulina Porizkova,Alec Mazo,7.0,21.0,41,Model,Unknown,Czechoslovakia
4,2,Shandi Finnessey,Brian Fortuna,6.666666666666667,20.0,28,Beauty Pagent,Missouri,United States
4,3,Apolo Anton Ohno,Julianne Hough,7.666666666666667,23.0,24,Athlete,Washington,United States
4,3,Billy Ray Cyrus,Karina Smirnoff,7.0,21.0,45,Singer/Rapper,Kentucky,United States
4,3,Clyde Drexler,Elena Grinenko,5.333333333333333,16.0,44,Athlete,Louisiana,United States
4,3,Heather Mills,Jonathan Roberts,8.0,24.0,39,Model,Unknown,England
4,3,Ian Ziering,Cheryl Burke,8.0,24.0,42,Actor/Actress,New Jersey,United States
4,3,Joey Fatone,Kym Johnson,8.0,24.0,30,Singer/Rapper,New York,United States
4,3,John Ratzenberger,Edyta Sliwinska,6.666666666666667,20.0,59,Actor/Actress,Connecticut,United States
4,3,Laila Ali,Maksim Chmerkoskiy,7.0,21.0,29,Athlete,Florida,United States
4,3,Leeza Gibbons,Tony Dovolani,8.0,24.0,50,TV Personality,South Carolina,United States
4,3,Shandi Finnessey,Brian Fortuna,7.0,21.0,28,Beauty Pagent,Missouri,United States
4,4,Apolo Anton Ohno,Julianne Hough,8.666666666666666,26.0,24,Athlete,Washington,United States
4,4,Billy Ray Cyrus,Karina Smirnoff,7.0,21.0,45,Singer/Rapper,Kentucky,United States
4,4,Clyde Drexler,Elena Grinenko,5.0,15.0,44,Athlete,Louisiana,United States
4,4,Heather Mills,Jonathan Roberts,7.666666666666667,23.0,39,Model,Unknown,England
4,4,Ian Ziering,Cheryl Burke,8.0,24.0,42,Actor/Actress,New Jersey,United States
4,4,Joey Fatone,Kym Johnson,9.333333333333334,28.0,30,Singer/Rapper,New York,United States
4,4,John Ratzenberger,Edyta Sliwinska,5.333333333333333,16.0,59,Actor/Actress,Connecticut,United States
4,4,Laila Ali,Maksim Chmerkoskiy,7.0,21.0,29,Athlete,Florida,United States
4,4,Leeza Gibbons,Tony Dovolani,5.333333333333333,16.0,50,TV Personality,South Carolina,United States
4,5,Apolo Anton Ohno,Julianne Hough,10.0,30.0,24,Athlete,Washington,United States
4,5,Billy Ray Cyrus,Karina Smirnoff,5.666666666666667,17.0,45,Singer/Rapper,Kentucky,United States
4,5,Clyde Drexler,Elena Grinenko,4.333333333333333,13.0,44,Athlete,Louisiana,United States
4,5,Heather Mills,Jonathan Roberts,7.0,21.0,39,Model,Unknown,England
4,5,Ian Ziering,Cheryl Burke,8.0,24.0,42,Actor/Actress,New Jersey,United States
4,5,Joey Fatone,Kym Johnson,8.333333333333334,25.0,30,Singer/Rapper,New York,United States
4,5,John Ratzenberger,Edyta Sliwinska,6.0,18.0,59,Actor/Actress,Connecticut,United States
4,5,Laila Ali,Maksim Chmerkoskiy,9.333333333333334,28.0,29,Athlete,Florida,United States
4,6,Apolo Anton Ohno,Julianne Hough,9.333333333333334,28.0,24,Athlete,Washington,United States
4,6,Billy Ray Cyrus,Karina Smirnoff,7.0,21.0,45,Singer/Rapper,Kentucky,United States
4,6,Heather Mills,Jonathan Roberts,7.666666666666667,23.0,39,Model,Unknown,England
4,6,Ian Ziering,Cheryl Burke,8.0,24.0,42,Actor/Actress,New Jersey,United States
4,6,Joey Fatone,Kym Johnson,9.0,27.0,30,Singer/Rapper,New York,United States
4,6,John Ratzenberger,Edyta Sliwinska,6.333333333333333,19.0,59,Actor/Actress,Connecticut,United States
4,6,Laila Ali,Maksim Chmerkoskiy,9.333333333333334,28.0,29,Athlete,Florida,United States
4,7,Apolo Anton Ohno,Julianne Hough,9.0,27.0,24,Athlete,Washington,United States
4,7,Billy Ray Cyrus,Karina Smirnoff,6.333333333333333,19.0,45,Singer/Rapper,Kentucky,United States
4,7,Ian Ziering,Cheryl Burke,9.0,27.0,42,Actor/Actress,New Jersey,United States
4,7,Joey Fatone,Kym Johnson,9.833333333333334,29.5,30,Singer/Rapper,New York,United States
4,7,John Ratzenberger,Edyta Sliwinska,7.5,22.5,59,Actor/Actress,Connecticut,United States
4,7,Laila Ali,Maksim Chmerkoskiy,9.833333333333334,29.5,29,Athlete,Florida,United States
4,8,Apolo Anton Ohno,Julianne Hough,9.666666666666666,29.0,24,Athlete,Washington,United States
4,8,Billy Ray Cyrus,Karina Smirnoff,6.333333333333333,19.0,45,Singer/Rapper,Kentucky,United States
4,8,Ian Ziering,Cheryl Burke,7.833333333333333,23.5,42,Actor/Actress,New Jersey,United States
4,8,Joey Fatone,Kym Johnson,9.166666666666666,27.5,30,Singer/Rapper,New York,United States
4,8,Laila Ali,Maksim Chmerkoskiy,8.833333333333334,26.5,29,Athlete,Florida,United States
4,9,Apolo Anton Ohno,Julianne Hough,9.833333333333334,29.5,24,Athlete,Washington,United States
4,9,Ian Ziering,Cheryl Burke,9.666666666666666,29.0,42,Actor/Actress,New Jersey,United States
4,9,Joey Fatone,Kym Johnson,10.0,30.0,30,Singer/Rapper,New York,United States
4,9,Laila Ali,Maksim Chmerkoskiy,10.0,30.0,29,Athlete,Florida,United States
4,10,Apolo Anton Ohno,Julianne Hough,9.777733333333334,29.3332,24,Athlete,Washington,United States
4,10,Joey Fatone,Kym Johnson,9.5555,28.6665,30,Singer/Rapper,New York,United States
4,10,Laila Ali,Maksim Chmerkoskiy,9.444400000000002,28.333200000000005,29,Athlete,Florida,United States
5,1,Albert Reed,Anna Trebunskaya,7.0,21.0,22,Model,Florida,United States
5,1,Cameron Mathison,Edyta Sliwinska,7.0,21.0,38,Actor/Actress,Unknown,Canada
5,1,Floyd Mayweather Jr. ,Karina Smirnoff,6.0,18.0,30,Athlete,Michigan,United States
5,1,Helio Castroneves,Julianne Hough,8.333333333333334,25.0,32,Racing Driver,Unknown,Brazil
5,1,Jane Seymour,Tony Dovolani,8.0,24.0,56,Actor/Actress,Unknown,England
5,1,Jennie Garth,Derek Hough,7.0,21.0,35,Actor/Actress,Illinois,United States
5,1,Josie Maran,Alec Mazo,5.333333333333333,16.0,29,Model,California,United States
5,1,Marie Osmond,Jonathan Roberts,7.0,21.0,47,Singer/Rapper,Utah,United States
5,1,Mark Cuban,Kym Johnson,7.0,21.0,49,TV Personality,Pennsylvania,United States
5,1,Mel B,Maksim Chmerkoskiy,8.0,24.0,32,Singer/Rapper,Unknown,England
5,1,Sabrina Bryan,Mark Ballas,8.666666666666666,26.0,23,Actor/Actress,California,United States
5,1,Wayne Newton,Cheryl Burke,6.333333333333333,19.0,65,Singer/Rapper,Virginia,United States
5,2,Albert Reed,Anna Trebunskaya,7.0,21.0,22,Model,Florida,United States
5,2,Cameron Mathison,Edyta Sliwinska,7.0,21.0,38,Actor/Actress,Unknown,Canada
5,2,Floyd Mayweather Jr. ,Karina Smirnoff,7.0,21.0,30,Athlete,Michigan,United States
5,2,Helio Castroneves,Julianne Hough,9.0,27.0,32,Racing Driver,Unknown,Brazil
5,2,Jane Seymour,Tony Dovolani,7.0,21.0,56,Actor/Actress,Unknown,England
5,2,Jennie Garth,Derek Hough,7.0,21.0,35,Actor/Actress,Illinois,United States
5,2,Marie Osmond,Jonathan Roberts,8.0,24.0,47,Singer/Rapper,Utah,United States
5,2,Mark Cuban,Kym Johnson,6.0,18.0,49,TV Personality,Pennsylvania,United States
5,2,Mel B,Maksim Chmerkoskiy,7.666666666666667,23.0,32,Singer/Rapper,Unknown,England
5,2,Sabrina Bryan,Mark Ballas,8.666666666666666,26.0,23,Actor/Actress,California,United States
5,2,Wayne Newton,Cheryl Burke,5.0,15.0,65,Singer/Rapper,Virginia,United States
5,3,Cameron Mathison,Edyta Sliwinska,7.666666666666667,23.0,38,Actor/Actress,Unknown,Canada
5,3,Floyd Mayweather Jr. ,Karina Smirnoff,7.0,21.0,30,Athlete,Michigan,United States
5,3,Helio Castroneves,Julianne Hough,8.0,24.0,32,Racing Driver,Unknown,Brazil
5,3,Jane Seymour,Tony Dovolani,9.0,27.0,56,Actor/Actress,Unknown,England
5,3,Jennie Garth,Derek Hough,8.666666666666666,26.0,35,Actor/Actress,Illinois,United States
5,3,Marie Osmond,Jonathan Roberts,8.666666666666666,26.0,47,Singer/Rapper,Utah,United States
5,3,Mark Cuban,Kym Johnson,6.666666666666667,20.0,49,TV Personality,Pennsylvania,United States
5,3,Mel B,Maksim Chmerkoskiy,9.0,27.0,32,Singer/Rapper,Unknown,England
5,3,Sabrina Bryan,Mark Ballas,9.0,27.0,23,Actor/Actress,California,United States
5,3,Wayne Newton,Cheryl Burke,6.0,18.0,65,Singer/Rapper,Virginia,United States
5,4,Cameron Mathison,Edyta Sliwinska,9.0,27.0,38,Actor/Actress,Unknown,Canada
5,4,Floyd Mayweather Jr. ,Karina Smirnoff,7.666666666666667,23.0,30,Athlete,Michigan,United States
5,4,Helio Castroneves,Julianne Hough,9.0,27.0,32,Racing Driver,Unknown,Brazil
5,4,Jane Seymour,Tony Dovolani,8.666666666666666,26.0,56,Actor/Actress,Unknown,England
5,4,Jennie Garth,Derek Hough,9.0,27.0,35,Actor/Actress,Illinois,United States
5,4,Marie Osmond,Jonathan Roberts,8.666666666666666,26.0,47,Singer/Rapper,Utah,United States
5,4,Mark Cuban,Kym Johnson,7.333333333333333,22.0,49,TV Personality,Pennsylvania,United States
5,4,Mel B,Maksim Chmerkoskiy,8.666666666666666,26.0,32,Singer/Rapper,Unknown,England
5,4,Sabrina Bryan,Mark Ballas,10.0,30.0,23,Actor/Actress,California,United States
5,5,Cameron Mathison,Edyta Sliwinska,8.666666666666666,26.0,38,Actor/Actress,Unknown,Canada
5,5,Helio Castroneves,Julianne Hough,7.666666666666667,23.0,32,Racing Driver,Unknown,Brazil
5,5,Jane Seymour,Tony Dovolani,8.666666666666666,26.0,56,Actor/Actress,Unknown,England
5,5,Jennie Garth,Derek Hough,8.333333333333334,25.0,35,Actor/Actress,Illinois,United States
5,5,Marie Osmond,Jonathan Roberts,7.0,21.0,47,Singer/Rapper,Utah,United States
5,5,Mark Cuban,Kym Johnson,7.0,21.0,49,TV Personality,Pennsylvania,United States
5,5,Mel B,Maksim Chmerkoskiy,9.666666666666666,29.0,32,Singer/Rapper,Unknown,England
5,5,Sabrina Bryan,Mark Ballas,9.333333333333334,28.0,23,Actor/Actress,California,United States
5,6,Cameron Mathison,Edyta Sliwinska,8.333333333333334,25.0,38,Actor/Actress,Unknown,Canada
5,6,Helio Castroneves,Julianne Hough,9.333333333333334,28.0,32,Racing Driver,Unknown,Brazil
5,6,Jane Seymour,Tony Dovolani,7.333333333333333,22.0,56,Actor/Actress,Unknown,England
5,6,Jennie Garth,Derek Hough,9.0,27.0,35,Actor/Actress,Illinois,United States
5,6,Marie Osmond,Jonathan Roberts,7.666666666666667,23.0,47,Singer/Rapper,Utah,United States
5,6,Mel B,Maksim Chmerkoskiy,10.0,30.0,32,Singer/Rapper,Unknown,England
5,6,Sabrina Bryan,Mark Ballas,8.333333333333334,25.0,23,Actor/Actress,California,United States
5,7,Cameron Mathison,Edyta Sliwinska,8.5,25.5,38,Actor/Actress,Unknown,Canada
5,7,Helio Castroneves,Julianne Hough,8.666666666666666,26.0,32,Racing Driver,Unknown,Brazil
5,7,Jane Seymour,Tony Dovolani,8.333333333333334,25.0,56,Actor/Actress,Unknown,England
5,7,Jennie Garth,Derek Hough,8.833333333333334,26.5,35,Actor/Actress,Illinois,United States
5,7,Marie Osmond,Jonathan Roberts,8.666666666666666,26.0,47,Singer/Rapper,Utah,United States
5,7,Mel B,Maksim Chmerkoskiy,9.0,27.0,32,Singer/Rapper,Unknown,England
