season,celebrity_name,ballroom_partner,age,industry_clean,home_state_clean,home_country_clean,survival_weeks,final_placement,judge_avg_score,fan_vote_percent
5,Cameron Mathison,Edyta Sliwinska,38,Actor/Actress,Unknown,Canada,8,5,8.083333333333334,0.0035061278637517
5,Floyd Mayweather Jr. ,Karina Smirnoff,30,Athlete,Michigan,United States,4,9,6.916666666666667,0.007744133852761825
5,Helio Castroneves,Julianne Hough,32,Racing Driver,Unknown,Brazil,10,1,8.88333,0.3229175791554775
5,Jane Seymour,Tony Dovolani,56,Actor/Actress,Unknown,England,7,6,8.142857142857142,0.011348554273268058
5,Jennie Garth,Derek Hough,35,Actor/Actress,Illinois,United States,9,4,8.425925925925926,0.004345560479672409
5,Josie Maran,Alec Mazo,29,Model,California,United States,1,12,5.333333333333333,6.3950987517699695e-19
5,Marie Osmond,Jonathan Roberts,47,Singer/Rapper,Utah,United States,10,3,8.083333333333332,0.3229175794319988
5,Mark Cuban,Kym Johnson,49,TV Personality,Pennsylvania,United States,5,8,6.8,0.01265080986405202
5,Mel B,Maksim Chmerkoskiy,32,Singer/Rapper,Unknown,England,10,2,9.077773333333333,0.3229175798797483
5,Sabrina Bryan,Mark Ballas,23,Actor/Actress,California,United States,6,7,9.0,0.00013543632048509482
5,Wayne Newton,Cheryl Burke,65,Singer/Rapper,Virginia,United States,3,10,5.777777777777778,0.02360166608023857
6,Adam Carolla,Julianne Hough,43,Radio Personality,California,United States,4,9,6.166666666666666,0.000136207538014225
6,Cristian de la Fuente,Cheryl Burke,34,Actor/Actress,Unknown,Chile,10,3,8.25,0.32991061818102974
6,Jason Taylor,Edyta Sliwinska,33,Athlete,Pennsylvania,United States,10,2,8.716666666666665,0.32991061832193835
6,Kristi Yamaguchi,Mark Ballas,36,Athlete,California,United States,10,1,9.4,0.3299106192880525
6,Mario,Karina Smirnoff,21,Singer/Rapper,Maryland,United States,8,5,8.416666666666666,3.1810770083706406e-05
6,Marissa Jaret Winokur,Tony Dovolani,35,Actor/Actress,New York,United States,9,4,7.74074074074074,0.010952195480834833
6,Marlee Matlin,Fabian Sanchez,42,Actor/Actress,Illinois,United States,6,7,7.444444444444444,0.00016069814010056667
6,Monica Seles,Jonathan Roberts,34,Athlete,Unknown,Yugoslavia,2,11,5.0,7.843464088830143e-05
6,Penn Jillette,Kym Johnson,53,Magician,Massachusetts,United States,2,12,5.5,7.843464304539242e-05
6,Priscilla Presley,Louis van Amstel,62,Actor/Actress,New York,United States,5,8,7.6,0.00013999421499825377
6,Shannon Elizabeth,Derek Hough,34,Actor/Actress,Texas,United States,7,6,8.071428571428571,0.0001842529864742318
6,Steve Guttenberg,Anna Trebunskaya,49,Actor/Actress,New York,United States,3,10,6.111111111111111,1.4899020256650672e-05
7,Brooke Burke,Derek Hough,37,TV Personality,Connecticut,United States,10,1,8.983333333333333,0.3259890560915556
7,Cloris Leachman,Corky Ballas,82,Actor/Actress,Iowa,United States,6,7,5.833333333333333,0.009769039916867733
7,Cody Linley,Julianne Hough,18,Actor/Actress,Texas,United States,9,4,7.611111111111111,0.009638666412847456
7,Jeffrey Ross,Edyta Sliwinska,43,Comedian,New Jersey,United States,1,13,4.0,0.0257920958814709
7,Kim Kardashian,Mark Ballas,27,TV Personality,California,United States,2,11,5.916666666666667,0.0008261322487212503
7,Lance Bass,Lacey Schwimmer,29,Singer/Rapper,Mississippi,United States,10,3,8.116666666666667,0.3259890560894556
7,Maurice Greene,Cheryl Burke,34,Athlete,Kansas,United States,8,5,7.479166666666667,0.001573253987086875
7,Misty May-Treanor,Maksim Chmerkoskiy,31,Athlete,California,United States,2,10,7.0,0.0010092153098587016
7,Rocco DiSpirito,Karina Smirnoff,41,TV Personality,New York,United States,4,9,5.958333333333333,0.0053792087198215755
7,Susan Lucci,Tony Dovolani,61,Actor/Actress,New York,United States,7,6,7.30952380952381,0.000811530056976725
7,Ted McGinley,Inna Brayer,50,Actor/Actress,California,United States,1,12,6.166666666666667,2.803798736438365e-18
7,Toni Braxton,Alec Mazo,40,Singer/Rapper,Maryland,United States,5,8,7.433333333333333,0.0011439420453675001
7,Warren Sapp,Kym Johnson,35,Athlete,Florida,United States,10,2,8.083333333333332,0.3259890562572765
8,Belinda Carlisle,Jonathan Roberts,50,Singer/Rapper,California,United States,2,13,5.833333333333334,5.83592304274692e-17
8,Chuck Wicks,Julianne Hough,29,Singer/Rapper,Delaware,United States,8,6,7.645833333333334,0.017397444628474312
8,David Alan Grier,Kym Johnson,52,Actor/Actress,Michigan,United States,5,9,6.933333333333333,0.0007547170286990448
8,Denise Richards,Maksim Chmerkoskiy,38,Actor/Actress,Illinois,United States,3,12,6.111111111111111,3.128278520180556e-17
8,Gilles Marini,Cheryl Burke,33,Actor/Actress,Unknown,France,11,2,9.227272727272727,0.30652759943008195
8,Holly Madison,Dmitry Chaplin,30,TV Personality,Oregon,United States,4,11,5.75,9.190988153532301e-12
8,Lawrence Taylor,Edyta Sliwinska,50,Athlete,Virginia,United States,7,7,6.571428571428571,0.009396526373793943
8,Lil' Kim,Derek Hough,34,Singer/Rapper,New York,United States,9,5,8.518518518518519,0.010667954806118044
8,Melissa Rycroft,Tony Dovolani,26,TV Personality,Texas,United States,11,3,8.893939393939393,0.30652759918367467
8,Shawn Johnson,Mark Ballas,17,Athlete,Iowa,United States,11,1,8.818181818181818,0.3065275995012853
8,Steve Wozniak,Karina Smirnoff,58,Entrepreneur,California,United States,4,10,4.333333333333333,0.0205692949673245
8,Steve-O,Lacey Schwimmer,34,TV Personality,Unknown,England,6,8,5.277777777777778,0.014818787591110083
8,Ty Murray,Chelsie Hightower,39,Athlete,Arizona,United States,10,4,7.2666666666666675,0.04086588952389039
9,Aaron Carter,Karina Smirnoff,21,Singer/Rapper,Florida,United States,8,5,8.604154166666667,0.0006534243220383163
9,Ashley Hamiliton,Edyta Sliwinska,34,Actor/Actress,California,United States,1,16,6.3333,7.959669323456351e-07
9,Chuck Liddell,Anna Trebunskaya,39,Athlete,California,United States,4,11,6.25,1.0017875607598098e-06
9,Debi Mazar,Maksim Chmerkoskiy,45,Actor/Actress,New York,United States,3,12,6.666666666666667,8.738067773096439e-07
9,Donny Osmond,Kym Johnson,51,Singer/Rapper,Utah,United States,10,1,8.822206666666666,0.328983943180858
9,Joanna Krupa,Derek Hough,30,Model,Unknown,Poland,9,4,9.018511111111112,0.0008233201427200621
9,Kathy Ireland,Tony Dovolani,46,Model,California,United States,2,14,6.333316666666667,3.0602327871056817e-07
9,Kelly Osbourne,Louis van Amstel,24,TV Personality,Unknown,England,10,3,8.157386666666667,0.3289839424980316
9,Louie Vito,Chelsie Hightower,21,Athlete,Ohio,United States,6,8,7.1111,0.00324886927223985
9,Macy Gray,Jonathan Roberts,42,Singer/Rapper,Ohio,United States,1,15,6.3333,7.959669323462927e-07
9,Mark Dacascos,Lacey Schwimmer,45,Actor/Actress,Hawaii,United States,7,6,8.071419047619047,8.72662014043202e-05
9,Melissa Joan Hart,Mark Ballas,33,Actor/Actress,New York,United States,6,9,7.6111055555555565,0.0001009973582692649
9,Michael Irvin,Anna Demidova,43,Athlete,Florida,United States,7,7,6.452371428571429,0.010388718098742299
9,Mya,Dmitry Chaplin,29,Singer/Rapper,Washington D.C.,United States,10,2,9.477766666666666,0.32898394456071867
9,Natalie Coughlin,Alec Mazo,27,Athlete,California,United States,5,10,7.999986666666667,0.00023283863333838057
9,Tom DeLay,Cheryl Burke,62,Politician,Texas,United States,3,13,5.888877777777778,0.007746768713785833
10,Aiden Turner,Edyta Sliwinska,32,Actor/Actress,Unknown,England,4,9,5.875,0.004898701085552375
10,Buzz Aldrin,Ashly DelGrosso,80,Astronaut,New Jersey,United States,3,10,4.333333333333333,0.03478661230041697
10,Chad Ochocinco,Cheryl Burke,32,Athlete,Florida,United States,9,4,7.388885185185185,0.01620431494596801
10,Erin Andrews,Maksim Chmerkoskiy,32,Sports Broadcaster,Maine,United States,10,3,8.31666,0.3186344046940836
10,Evan Lysacek,Anna Trebunskaya,24,Athlete,Illinois,United States,10,2,8.762956666666666,0.3186344029884689
10,Jake Pavelka,Chelsie Hightower,32,TV Personality,Texas,United States,6,7,7.1111055555555565,0.0022673697960908503
10,Kate Gosselin,Tony Dovolani,35,TV Personality,Pennsylvania,United States,5,8,5.133333333333333,0.022217139289035102
10,Nicole Scherzinger,Derek Hough,31,Singer/Rapper,Hawaii,United States,10,1,9.359253333333333,0.3186344035171077
10,Niecy Nash,Louis van Amstel,40,Actor/Actress,California,United States,8,5,6.999991666666666,0.004517821670671915
10,Pamela Anderson,Damian Whitewood,42,Model,Unknown,Canada,7,6,7.809514285714286,0.0014774176655895734
10,Shannen Doherty,Mark Ballas,38,Actor/Actress,Tennessee,United States,2,11,6.333333333333334,1.0069915140994724e-19
11,Audrina Patridge,Tony Dovolani,25,TV Personality,California,United States,6,7,8.1111,0.00016384352571112705
11,Brandy,Maksim Chmerkoskiy,31,Singer/Rapper,Mississippi,United States,9,4,9.2037,0.0013309756994244334
11,Bristol Palin,Mark Ballas,19,TV Personality,Alaska,United States,10,3,7.63888,0.3184568998763262
11,David Hasselhoff,Kym Johnson,58,Actor/Actress,Maryland,United States,1,12,5.0,7.527749425877833e-05
11,Florence Henderson,Corky Ballas,76,Actor/Actress,Indiana,United States,5,8,6.366666666666666,0.00058659226727182
11,Jennifer Grey,Derek Hough,50,Actor/Actress,New York,United States,10,1,9.3,0.31845690200865345
11,Kurt Warner,Anna Trebunskaya,39,Athlete,Iowa,United States,8,5,7.708329166666667,0.04526036301743973
11,Kyle Massey,Lacey Schwimmer,19,Actor/Actress,Georgia,United States,10,2,8.52777,0.3184569024470587
11,Margaret Cho,Louis van Amstel,41,Comedian,California,United States,3,10,5.666666666666667,0.0007448973637346001
11,Michael Bolton,Chelsie Hightower,57,Singer/Rapper,Connecticut,United States,2,11,4.666666666666666,0.0006891852056343
11,Rick Fox,Cheryl Burke,41,Athlete,Unknown,Canada,7,6,8.333333333333332,0.008998268676024171
11,The Situation,Karina Smirnoff,28,TV Personality,New York,United States,4,9,5.583333333333334,0.000409757006437675
12,Chelsea Kane,Mark Ballas,22,Actor/Actress,Arizona,United States,10,3,8.92222,0.32443870568600597
12,Chris Jericho,Cheryl Burke,40,Athlete,New York,United States,6,7,7.444444444444444,4.000390412638551e-05
12,Hines Ward,Kym Johnson,35,Athlete,Unknown,South Korea,10,1,8.92222,0.3244387064730162
12,Kendra Wilkinson,Louis van Amstel,25,TV Personality,California,United States,7,6,7.404761904761905,0.010582219832705885
12,Kirstie Alley,Maksim Chmerkoskiy,60,Actor/Actress,Kansas,United States,10,2,8.216663333333333,0.3244387068068784
12,Mike Catherwood,Lacey Schwimmer,32,Radio Personality,California,United States,2,11,5.0,0.00010252995612653747
12,Petra Nemcova,Dmitry Chaplin,31,Model,Unknown,Czechoslovakia,5,8,7.066666666666667,1.1784075677427594e-05
12,Ralph Macchio,Karina Smirnoff,49,Actor/Actress,New York,United States,9,4,8.037037037037038,0.020322779368955865
12,Romeo,Chelsie Hightower,21,Singer/Rapper,Louisiana,United States,8,5,8.125,0.0009694392790355228
12,Sugar Ray Leonard,Anna Trebunskaya,54,Athlete,North Carolina,United States,4,9,6.25,0.00014845981021957574
12,Wendy Williams,Tony Dovolani,46,TV Personality,New Jersey,United States,3,10,5.111111111111112,0.00033496666762903335
13,Carson Kressley,Anna Trebunskaya,41,TV Personality,Pennsylvania,United States,5,8,6.466666666666667,0.01147799080546966
13,Chaz Bono,Lacey Schwimmer,42,TV Personality,California,United States,6,7,6.277777777777778,0.02157957562036045
13,Chynna Phillips,Tony Dovolani,43,Singer/Rapper,California,United States,4,9,7.5,1.1639753208491605e-18
13,David Arquette,Kym Johnson,40,Actor/Actress,Virginia,United States,7,6,7.357142857142857,0.008775382153210186
13,Elisabetta Canalis,Valentin Chmerkovskiy,33,Actor/Actress,Unknown,Italy,2,11,6.0,2.6487341944694457e-19
13,Hope Solo,Maksim Chmerkoskiy,30,Athlete,Washington,United States,9,4,7.685177777777778,0.009302493187526857
13,J.R. Martinez,Karina Smirnoff,28,Actor/Actress,Louisiana,United States,10,1,8.772216666666667,0.3188512436365434
13,Kristin Cavallari,Mark Ballas,24,TV Personality,Colorado,United States,3,10,7.222222222222221,2.0811599514038163e-18
13,Metta World Peace (Ron),Peta Murgatroyd,31,Athlete,New York,United States,1,12,4.666666666666667,8.877863891389847e-06
13,Nancy Grace,Tristan MacManus,51,TV Personality,Georgia,United States,8,5,7.041666666666666,0.012804538188784213
13,Ricki Lake,Derek Hough,42,Actor/Actress,New York,United States,10,3,8.86666,0.31885124421579636
13,Rob Kardashian,Cheryl Burke,24,TV Personality,California,United States,10,2,8.127766666666666,0.3188512416592711
14,Donald Driver,Peta Murgatroyd,37,Athlete,Texas,United States,10,1,9.038883333333334,0.3258909878111369
14,Gavin DeGraw,Karina Smirnoff,35,Singer/Rapper,New York,United States,5,9,7.133333333333333,0.00048939665407214
14,Gladys Knight,Tristan MacManus,67,Singer/Rapper,Georgia,United States,6,8,7.333333333333333,0.004002209067454317
14,Jack Wagner,Anna Trebunskaya,52,Actor/Actress,Missouri,United States,3,11,7.555555555555556,1.6835560107570964e-05
14,Jaleel White,Kym Johnson,35,Actor/Actress,California,United States,7,7,8.642847619047618,0.0005148127383085857
14,Katherine Jenkins,Mark Ballas,31,Singer/Rapper,Unknown,Wales,10,2,9.516663333333332,0.3258909886496846
14,Maria Menounos,Derek Hough,33,TV Personality,Massachusetts,United States,9,4,8.907403703703704,0.008624056122561756
14,Martina Navratilova,Tony Dovolani,55,Athlete,Unknown,Czechoslovakia,2,12,6.166666666666667,1.6419733682524614e-18
14,Melissa Gilbert,Maksim Chmerkoskiy,47,Actor/Actress,California,United States,8,5,7.75,0.014413015658396176
14,Roshon Fegan,Chelsie Hightower,20,Actor/Actress,California,United States,8,6,8.666658333333334,2.1891253406597898e-05
14,Sherri Sheperd,Valentin Chmerkovskiy,44,Actor/Actress,Illinois,United States,4,10,7.583333333333334,1.5039082322468532e-05
14,William Levy,Cheryl Burke,31,Actor/Actress,Unknown,Cuba,10,3,9.255553333333333,0.32589098851414455
15,Apolo Anton Ohno,Karina Smirnoff,30,Athlete,Washington,United States,9,5,9.4681,0.0005035737823278713
15,Bristol Palin,Mark Ballas,21,TV Personality,Alaska,United States,4,9,7.666666666666666,0.013636561546932699
15,Drew Lachey,Anna Trebunskaya,36,Singer/Rapper,Ohio,United States,3,11,7.555555555555556,0.0050803161700771335
15,Emmitt Smith,Cheryl Burke,43,Athlete,Florida,United States,9,4,9.372418518518518,0.012911574842934889
15,Gilles Marini,Peta Murgatroyd,36,Actor/Actress,Unknown,France,8,6,9.709479166666666,0.007300815393160337
15,Helio Castroneves,Chelsie Hightower,37,Racing Driver,Unknown,Brazil,3,10,7.777777777777779,1.2569681795790944e-18
15,Joey Fatone,Kym Johnson,35,Singer/Rapper,New York,United States,2,12,7.166666666666666,1.2871163096032403e-18
15,Kelly Monaco,Valentin Chmerkovskiy,36,Actor/Actress,Pennsylvania,United States,10,3,9.37684,0.3207637692784418
15,Kirstie Alley,Maksim Chmerkoskiy,61,Actor/Actress,Kansas,United States,8,7,8.3854125,0.015927683938513064
15,Melissa Rycroft,Tony Dovolani,29,TV Personality,Texas,United States,10,1,9.778690000000001,0.3207637700071711
15,Pamela Anderson,Tristan MacManus,45,Model,Unknown,Canada,1,13,5.666666666666667,1.3258479370768325e-08
15,Sabrina Bryan,Louis van Amstel,28,Actor/Actress,California,United States,6,8,9.375,0.00012256454562748173
15,Shawn Johnson,Derek Hough,20,Athlete,Iowa,United States,10,2,9.784246666666666,0.32076376796329126
16,Alexandra Raisman,Mark Ballas,18,Athlete,Massachusetts,United States,10,4,8.816666666666666,0.2440452908165205
16,Andy Dick,Sharna Burgess,47,Comedian,South Carolina,United States,7,7,6.30952380952381,2.3935378105361013e-05
16,D. L. Hughley,Cheryl Burke,50,Comedian,Virginia,United States,5,9,5.533333333333333,4.316582176819965e-05
16,Dorothy Hamill,Tristan MacManus,56,Athlete,Illinois,United States,2,12,6.0,7.57677213866e-05
16,Ingo Rademacher,Kym Johnson,41,Actor/Actress,Unknown,Germany,9,5,7.5,0.0032344053452673443
16,Jacoby Jones,Karina Smirnoff,28,Athlete,Louisiana,United States,10,3,8.399989999999999,0.25443703009338325
16,Kellie Pickler,Derek Hough,26,Singer/Rapper,North Carolina,United States,10,1,8.916666666666666,0.24924116012128944
16,Lisa Vanderpump,Gleb Savchenko,52,TV Personality,Unknown,England,4,10,6.25,6.419109499105965e-06
16,Sean Lowe,Peta Murgatroyd,29,TV Personality,Texas,United States,8,6,7.166666666666667,1.1011894071303168e-05
16,Victor Ortiz,Lindsay Arnold,26,Athlete,Kansas,United States,6,8,6.555555555555556,7.635257234218418e-05
16,Wynonna Judd,Tony Dovolani,48,Singer/Rapper,Kentucky,United States,3,11,5.666666666666667,4.571153911907803e-05
16,Zendaya,Valentin Chmerkovskiy,16,Actor/Actress,California,United States,10,2,9.099993333333334,0.24924116077403302
17,Amber Riley,Derek Hough,27,Actor/Actress,California,United States,11,1,9.51009393939394,0.24171615700950405
17,Bill Engvall,Emma Slater,56,Comedian,Texas,United States,11,4,7.803024242424243,0.24171615090216372
17,Bill Nye,Tyne Stecklein,57,TV Personality,Washington D.C.,United States,3,11,5.222222222222222,0.0035458397595248335
17,Brant Daugherty,Peta Murgatroyd,28,Actor/Actress,Ohio,United States,8,7,8.604166666666666,0.002781958219579738
17,Christina Milian,Mark Ballas,31,Singer/Rapper,New Jersey,United States,5,9,8.333333333333332,2.679139982686559e-06
17,Corbin Bleu,Karina Smirnoff,24,Actor/Actress,New York,United States,11,2,9.505039393939393,0.24171615322491372
17,Elizabeth Berkley Lauren,Valentin Chmerkovskiy,39,Actor/Actress,Michigan,United States,9,6,8.851844444444446,0.00860869512104141
17,Jack Osbourne,Cheryl Burke,27,TV Personality,Unknown,England,11,3,8.969687878787878,0.2417161505313086
17,Keyshawn Johnson,Sharna Burgess,41,Athlete,California,United States,2,12,5.833333333333334,2.8029787720392557e-18
17,Leah Remini,Tony Dovolani,43,Actor/Actress,New York,United States,10,5,8.566663333333334,0.02162691245876342
17,"Nicole ""Snooki"" Polizzi",Sasha Farber,25,TV Personality,Unknown,Chile,7,8,8.380952380952381,0.003666433203001057
17,Valerie Harper,Tristan MacManus,74,Actor/Actress,New York,United States,4,10,6.166666666666666,0.003042569455016525
18,Amy Purdy,Derek Hough,34,Athlete,Nevada,United States,10,2,11.305553333333332,0.24193131277737184
18,Billy Dee Williams,Emma Slater,76,Actor/Actress,New York,United States,2,10,5.0,0.02509262261082345
18,Candace Cameron Bure,Mark Ballas,37,Actor/Actress,California,United States,10,3,10.26666,0.2583929882211287
18,Charlie White,Sharna Burgess,26,Athlete,Michigan,United States,9,5,11.38888888888889,0.012323018402667255
18,Cody Simpson,Witney Carson,17,Singer/Rapper,Unknown,Australia,5,9,9.6,0.0009148946148817
18,Danica McKellar,Valentin Chmerkovskiy,39,Actor/Actress,California,United States,8,6,11.041666666666666,0.00625276724074125
18,Diana Nyad,Henry Byalikov,64,Athlete,New York,United States,1,12,6.0,2.19041990142397e-18
18,Drew Carey,Cheryl Burke,55,Comedian,Ohio,United States,6,8,9.166666666666666,0.012838286496771267
18,James Maslow,Peta Murgatroyd,23,Actor/Actress,New York,United States,10,4,11.0,0.22546963590684302
18,Meryl Davis,Maksim Chmerkoskiy,27,Athlete,Michigan,United States,10,1,11.6,0.2419313127632286
18,NeNe Leakes,Tony Dovolani,46,TV Personality,New York,United States,7,7,9.857142857142858,0.004289823212522301
18,Sean Avery,Karina Smirnoff,33,Athlete,Unknown,Canada,2,11,6.833333333333334,1.2665518459379156e-17
19,Alfonso Ribeiro,Witney Carson,42,Actor/Actress,New York,United States,11,1,12.242424242424242,0.23812387887596242
19,Antonio Sabato Jr.,Cheryl Burke,42,Actor/Actress,Unknown,Italy,7,8,9.5,0.0125666962118053
19,Bethany Mota,Derek Hough,18,Social Media Personality,California,United States,11,4,12.015151515151514,0.2381238785081723
19,Betsey Johnson,Tony Dovolani,72,Fashion Designer,Connecticut,United States,4,10,8.833333333333334,0.002702048213961075
19,Janel Parrish,Valentin Chmerkovskiy,25,Actor/Actress,Hawaii,United States,11,3,12.0606,0.23812387871388327
19,Jonathan Bennett,Allison Holker,33,Actor/Actress,Ohio,United States,6,9,9.555555555555555,0.01174584223127155
19,Lea Thompson,Artem Chigvintsev,53,Actor/Actress,Minnesota,United States,9,6,11.296296296296296,0.00018546466440858683
19,Lolo Jones,Keo Motsepe,32,Athlete,Iowa,United States,1,13,7.333333333333333,0.0
19,Michael Waltrip,Emma Slater,51,Racing Driver,Kentucky,United States,8,7,8.541666666666668,0.013774122538321162
19,Randy Couture,Karina Smirnoff,51,Athlete,Washington,United States,3,11,9.444444444444445,4.40835881676675e-05
19,Sadie Robertson,Mark Ballas,17,TV Personality,Louisiana,United States,11,2,11.722218181818182,0.23812387920194356
19,Tavis Smiley,Sharna Burgess,50,Radio Personality,Mississippi,United States,2,12,9.5,2.168265465135913e-18
19,Tommy Chong,Peta Murgatroyd,76,Comedian,Unknown,Canada,10,5,9.55,0.02413047989235591
20,Charlotte McKinney,Keo Motsepe,21,Model,Florida,United States,3,11,7.777777777777778,0.013328907753573434
20,Chris Soules,Witney Carson,33,TV Personality,Iowa,United States,8,5,9.458333333333334,0.028976968495253413
20,Michael Sam,Peta Murgatroyd,25,Athlete,Texas,United States,4,10,9.0,0.006628969048962525
20,Nastia Liukin,Derek Hough,25,Athlete,Unknown,Russia,9,4,12.12962962962963,0.001419914860622279
20,Noah Galloway,Sharna Burgess,33,Motivational Speaker,Alabama,United States,10,3,10.683333333333334,0.3126331748175585
20,Patti LaBelle,Artem Chigvintsev,70,Singer/Rapper,Pennsylvania,United States,6,8,9.222222222222223,0.01044731238198715
20,Redfoo,Emma Slater,39,Singer/Rapper,California,United States,2,12,8.833333333333334,0.0
20,Riker Lynch,Allison Holker,23,Actor/Actress,Colorado,United States,10,2,12.1,0.3126345213926697
20,Robert Herjavec,Kym Johnson,52,Entrepreneur,Unknown,Croatia,8,6,9.9375,0.025344418474494274
20,Rumer Willis,Valentin Chmerkovskiy,26,Actor/Actress,Kentucky,United States,10,1,12.083333333333332,0.31263385322721254
20,Suzanne Somers,Tony Dovolani,68,Actor/Actress,California,United States,5,9,8.933333333333334,0.00866812532306442
20,Willow Shields,Mark Ballas,14,Actor/Actress,New Mexico,United States,7,7,11.30952380952381,0.0001581536797418997
21,Alek Skarlatos,Lindsay Arnold,22,Military,California,United States,11,3,8.90908787878788,0.25089770658026284
21,Alexa PenaVega,Mark Ballas,27,Actor/Actress,Florida,United States,9,6,9.499992592592593,0.0011470977526170222
21,Andy Grammer,Allison Holker,31,Singer/Rapper,California,United States,8,7,9.291658333333334,0.0008810742816456843
21,Bindi Irwin,Derek Hough,17,TV Personality,Unknown,Australia,11,1,10.106060606060607,0.2416788909212727
21,Carlos PenaVega,Witney Carson,26,Actor/Actress,Missouri,United States,11,4,9.818175757575757,0.2324600767601864
