season,week,celebrity_name,ballroom_partner,judge_total,judge_percent,judge_rank,fan_vote_percent,combined_score,eliminated,method,fan_rank,combined_rank
1,3,Kelly Monaco,Alec Mazo,21.0,0.1981132075471698,4,0.2188053358992111,0.4169185434463809,False,rank,2.0,6.0
1,3,Rachel Hunter,Jonathan Roberts,26.0,0.2452830188679245,1,0.1547187367741325,0.4000017556420571,False,rank,4.0,5.0
1,4,Joey McIntyre,Ashly DelGrosso,20.0,0.217391304347826,4,0.1795682213638207,0.3969595257116468,False,rank,4.0,8.0
1,4,John O'Hurley,Charlotte Jorgensen,21.0,0.2282608695652173,3,0.3591364427276414,0.5873973122928589,False,rank,1.0,4.0
1,4,Kelly Monaco,Alec Mazo,26.0,0.2826086956521739,1,0.2539478140239294,0.5365565096761034,False,rank,2.0,3.0
1,4,Rachel Hunter,Jonathan Roberts,25.0,0.2717391304347826,2,0.2073475218846084,0.479086652319391,True,rank,3.0,5.0
1,5,Joey McIntyre,Ashly DelGrosso,22.5,0.3082191780821918,3,0.2527297543609129,0.5609489324431047,False,rank,3.0,6.0
1,5,John O'Hurley,Charlotte Jorgensen,27.0,0.3698630136986301,1,0.4377407751375031,0.8076037888361332,False,rank,1.0,2.0
1,5,Kelly Monaco,Alec Mazo,23.5,0.3219178082191781,2,0.3095294705015841,0.6314472787207621,False,rank,2.0,4.0
1,6,John O'Hurley,Charlotte Jorgensen,27.0,0.4954128440366973,2,0.585786437626905,1.0811992816636022,False,rank,1.0,3.0
1,6,Kelly Monaco,Alec Mazo,27.5,0.5045871559633027,1,0.414213562373095,0.9188007183363978,False,rank,2.0,3.0
2,1,Drew Lachey,Cheryl Burke,24.0,0.123076923076923,1,0.066387865523762,0.1894647886006851,False,rank,9.0,10.0
2,1,George Hamilton,Edyta Sliwinska,18.0,0.0923076923076923,8,0.1149871560932061,0.2072948484008984,False,rank,3.0,11.0
2,1,Giselle Fernandez,Jonathan Roberts,23.0,0.1179487179487179,2,0.0752767638206885,0.1932254817694064,False,rank,7.0,9.0
2,1,Jerry Rice,Anna Trebunskaya,21.0,0.1076923076923077,5,0.081308197822862,0.1890005055151697,False,rank,6.0,11.0
2,1,Kenny Mayne,Andrea Hale,13.0,0.0666666666666666,9,0.0629810592156165,0.1296477258822832,True,rank,10.0,19.0
2,1,Lisa Rinna,Louis van Amstel,19.0,0.0974358974358974,7,0.099581798285643,0.1970176957215405,False,rank,4.0,11.0
2,1,Master P,Ashly DelGrosso,12.0,0.0615384615384615,10,0.0704149648505291,0.1319534263889906,False,rank,8.0,18.0
2,1,Stacy Keibler,Tony Dovolani,22.0,0.1128205128205128,4,0.0890686681153479,0.2018891809358608,False,rank,5.0,9.0
2,1,Tatum O'Neal,Nick Kosovich,23.0,0.1179487179487179,2,0.1991635965712861,0.3171123145200041,False,rank,1.0,3.0
2,1,Tia Carrere,Maksim Chmerkoskiy,20.0,0.1025641025641025,6,0.1408299297010582,0.2433940322651608,False,rank,2.0,8.0
2,2,Drew Lachey,Cheryl Burke,27.0,0.135,2,0.0708500785140889,0.2058500785140889,False,rank,9.0,11.0
2,2,George Hamilton,Edyta Sliwinska,22.0,0.11,5,0.1227159357066462,0.2327159357066462,False,rank,3.0,8.0
2,2,Giselle Fernandez,Jonathan Roberts,24.0,0.12,3,0.08033643776472,0.20033643776472,False,rank,7.0,10.0
2,2,Jerry Rice,Anna Trebunskaya,23.0,0.115,4,0.0867732702978219,0.2017732702978219,False,rank,6.0,10.0
2,2,Lisa Rinna,Louis van Amstel,20.0,0.1,7,0.1062751177711334,0.2062751177711335,False,rank,4.0,11.0
2,2,Master P,Ashly DelGrosso,16.0,0.08,9,0.2125502355422669,0.2925502355422669,False,rank,1.0,10.0
2,2,Stacy Keibler,Tony Dovolani,29.0,0.145,1,0.0950553550612201,0.2400553550612201,False,rank,5.0,6.0
2,2,Tatum O'Neal,Nick Kosovich,17.0,0.085,8,0.0751478564473674,0.1601478564473674,True,rank,8.0,16.0
2,2,Tia Carrere,Maksim Chmerkoskiy,22.0,0.11,5,0.1502957128947348,0.2602957128947348,False,rank,2.0,7.0
2,3,Drew Lachey,Cheryl Burke,27.0,0.1483516483516483,1,0.0808780743662872,0.2292297227179355,False,rank,8.0,9.0
2,3,George Hamilton,Edyta Sliwinska,22.0,0.1208791208791208,5,0.1320733423841837,0.2529524632633046,False,rank,3.0,8.0
2,3,Giselle Fernandez,Jonathan Roberts,22.0,0.1208791208791208,5,0.093389956013829,0.2142690768929498,True,rank,6.0,11.0
2,3,Jerry Rice,Anna Trebunskaya,19.0,0.1043956043956044,7,0.0864622983944773,0.1908579027900817,False,rank,7.0,14.0
2,3,Lisa Rinna,Louis van Amstel,25.0,0.1373626373626373,4,0.1143788696674231,0.2517415070300605,False,rank,4.0,8.0
2,3,Master P,Ashly DelGrosso,14.0,0.0769230769230769,8,0.2287577393348463,0.3056808162579232,False,rank,1.0,9.0
2,3,Stacy Keibler,Tony Dovolani,27.0,0.1483516483516483,1,0.1023035711063787,0.2506552194580271,False,rank,5.0,6.0
2,3,Tia Carrere,Maksim Chmerkoskiy,26.0,0.1428571428571428,3,0.1617561487325744,0.3046132915897173,False,rank,2.0,5.0
2,4,Drew Lachey,Cheryl Burke,28.0,0.1772151898734177,1,0.1016077991496491,0.2788229890230668,False,rank,6.0,7.0
2,4,George Hamilton,Edyta Sliwinska,21.0,0.1329113924050632,6,0.1436951276003152,0.2766065200053784,False,rank,3.0,9.0
2,4,Jerry Rice,Anna Trebunskaya,24.0,0.1518987341772152,5,0.2488872618038387,0.4007859959810539,False,rank,1.0,6.0
2,4,Lisa Rinna,Louis van Amstel,26.0,0.1645569620253164,2,0.1244436309019193,0.2890005929272358,False,rank,4.0,6.0
2,4,Master P,Ashly DelGrosso,8.0,0.050632911392405,7,0.0940705427463974,0.1447034541388025,True,rank,7.0,14.0
2,4,Stacy Keibler,Tony Dovolani,26.0,0.1645569620253164,2,0.111305767225434,0.2758627292507505,False,rank,5.0,7.0
2,4,Tia Carrere,Maksim Chmerkoskiy,25.0,0.1582278481012658,4,0.1759898705724459,0.3342177186737118,False,rank,2.0,6.0
2,5,Drew Lachey,Cheryl Burke,27.0,0.1788079470198675,2,0.1121586215528097,0.2909665685726773,False,rank,6.0,8.0
2,5,George Hamilton,Edyta Sliwinska,24.0,0.1589403973509933,4,0.1586162437370548,0.3175566410880482,False,rank,3.0,7.0
2,5,Jerry Rice,Anna Trebunskaya,23.0,0.152317880794702,5,0.2747313930583076,0.4270492738530096,False,rank,1.0,6.0
2,5,Lisa Rinna,Louis van Amstel,25.0,0.1655629139072847,3,0.1373656965291538,0.3029286104364386,False,rank,4.0,7.0
2,5,Stacy Keibler,Tony Dovolani,30.0,0.1986754966887417,1,0.1228636140863179,0.3215391107750596,False,rank,5.0,6.0
2,5,Tia Carrere,Maksim Chmerkoskiy,22.0,0.1456953642384106,6,0.1942644310363561,0.3399597952747667,True,rank,2.0,8.0
2,6,Drew Lachey,Cheryl Burke,30.0,0.225563909774436,1,0.2188053358992111,0.4443692456736472,False,rank,2.0,3.0
2,6,George Hamilton,Edyta Sliwinska,23.0,0.1729323308270676,4,0.1786538086504485,0.3515861394775162,True,rank,3.0,7.0
2,6,Jerry Rice,Anna Trebunskaya,23.0,0.1729323308270676,4,0.309437473548265,0.4823698043753327,False,rank,1.0,5.0
2,6,Lisa Rinna,Louis van Amstel,27.0,0.2030075187969924,3,0.1547187367741325,0.357726255571125,False,rank,4.0,7.0
2,6,Stacy Keibler,Tony Dovolani,30.0,0.225563909774436,1,0.1383846451279427,0.3639485549023788,False,rank,5.0,6.0
2,7,Drew Lachey,Cheryl Burke,27.5,0.2696078431372549,1,0.2539478140239294,0.5235556571611844,False,rank,2.0,3.0
2,7,Jerry Rice,Anna Trebunskaya,20.5,0.2009803921568627,4,0.3591364427276414,0.5601168348845043,False,rank,1.0,5.0
2,7,Lisa Rinna,Louis van Amstel,26.5,0.2598039215686274,3,0.1795682213638207,0.4393721429324482,True,rank,4.0,7.0
2,7,Stacy Keibler,Tony Dovolani,27.5,0.2696078431372549,1,0.2073475218846084,0.4769553650218633,False,rank,3.0,4.0
2,8,Drew Lachey,Cheryl Burke,28.9998,0.3438729131809768,1,0.3095294705015841,0.6534023836825609,False,rank,2.0,3.0
2,8,Jerry Rice,Anna Trebunskaya,26.666600000000003,0.3162063678588072,3,0.4377407751375031,0.7539471429963103,False,rank,1.0,4.0
2,8,Stacy Keibler,Tony Dovolani,28.6665,0.339920718960216,2,0.2527297543609129,0.5926504733211289,False,rank,3.0,5.0
3,1,Emmitt Smith,Cheryl Burke,24.0,0.1132075471698113,2,0.4754686434974316,0.2943380953336215,False,percentage,,
3,1,Harry Hamlin,Ashly DelGrosso,17.0,0.080188679245283,8,0.0043788124271916,0.0422837458362373,False,percentage,,
3,1,Jerry Springer,Kym Johnson,16.0,0.0754716981132075,9,0.0153558492906631,0.0454137737019353,False,percentage,,
3,1,Joey Lawrence,Edyta Sliwinska,21.0,0.0990566037735849,5,0.0087416675593374,0.0538991356664611,False,percentage,,
3,1,Mario Lopez,Karina Smirnoff,26.0,0.1226415094339622,1,0.4747207256807775,0.2986811175573699,False,percentage,,
3,1,Monique Coleman,Louis van Amstel,19.0,0.0896226415094339,6,2.6645317343284207e-06,0.0448126530205841,False,percentage,,
3,1,Sara Evans,Tony Dovolani,15.0,0.070754716981132,10,0.019398233540108,0.04507647526062,False,percentage,,
3,1,Shanna Moakler,Jesse DeSoto,18.0,0.0849056603773584,7,8.533856943587077e-19,0.0424528301886792,False,percentage,,
3,1,Tucker Carlson,Elena Grinenko,12.0,0.0566037735849056,11,4.454334511373552e-19,0.0283018867924528,True,percentage,,
3,1,Vivica A. Fox,Nick Kosovich,22.0,0.1037735849056603,3,2.1243586317137853e-18,0.0518867924528301,False,percentage,,
3,1,Willa Ford,Maksim Chmerkoskiy,22.0,0.1037735849056603,3,0.0019334034727561,0.0528534941892082,False,percentage,,
3,2,Emmitt Smith,Cheryl Burke,24.0,0.1043478260869565,3,0.4755098970595676,0.289928861573262,False,percentage,,
3,2,Harry Hamlin,Ashly DelGrosso,21.0,0.0913043478260869,7,0.0043478260869565,0.0478260869565217,False,percentage,,
3,2,Jerry Springer,Kym Johnson,19.0,0.0826086956521739,10,0.0153657664403992,0.0489872310462865,False,percentage,,
3,2,Joey Lawrence,Edyta Sliwinska,29.0,0.1260869565217391,1,0.0087990902355917,0.0674430233786654,False,percentage,,
3,2,Mario Lopez,Karina Smirnoff,21.0,0.0913043478260869,7,0.474721606643736,0.2830129772349115,False,percentage,,
3,2,Monique Coleman,Louis van Amstel,26.0,0.1130434782608695,2,1.5370969026997584e-18,0.0565217391304347,False,percentage,,
3,2,Sara Evans,Tony Dovolani,21.0,0.0913043478260869,7,0.0193383150214676,0.0553213314237773,False,percentage,,
3,2,Shanna Moakler,Jesse DeSoto,22.0,0.0956521739130434,6,0.0,0.0478260869565217,True,percentage,,
3,2,Vivica A. Fox,Nick Kosovich,24.0,0.1043478260869565,3,1.4641645200984199e-18,0.0521739130434782,False,percentage,,
3,2,Willa Ford,Maksim Chmerkoskiy,23.0,0.1,5,0.0019174985122812,0.0509587492561406,False,percentage,,
3,3,Emmitt Smith,Cheryl Burke,19.0,0.0917874396135265,9,0.47588476274421,0.2838361011788682,False,percentage,,
3,3,Harry Hamlin,Ashly DelGrosso,22.0,0.1062801932367149,4,0.0022055054080819,0.0542428493223984,True,percentage,,
3,3,Jerry Springer,Kym Johnson,21.0,0.1014492753623188,8,0.0157049406903313,0.058577108026325,False,percentage,,
3,3,Joey Lawrence,Edyta Sliwinska,22.0,0.1062801932367149,4,0.0092476258679967,0.0577639095523558,False,percentage,,
3,3,Mario Lopez,Karina Smirnoff,22.0,0.1062801932367149,4,0.4751998971865211,0.290740045211618,False,percentage,,
3,3,Monique Coleman,Louis van Amstel,27.0,0.1304347826086956,1,1.3518645838178633e-18,0.0652173913043478,False,percentage,,
3,3,Sara Evans,Tony Dovolani,25.0,0.1207729468599033,3,0.0195517626947767,0.07016235477734,False,percentage,,
3,3,Vivica A. Fox,Nick Kosovich,27.0,0.1304347826086956,1,1.3891340334970526e-19,0.0652173913043478,False,percentage,,
3,3,Willa Ford,Maksim Chmerkoskiy,22.0,0.1062801932367149,4,0.0022055054080819,0.0542428493223984,False,percentage,,
3,4,Emmitt Smith,Cheryl Burke,24.0,0.1212121212121212,4,0.4766977926377518,0.2989549569249365,False,percentage,,
3,4,Jerry Springer,Kym Johnson,22.0,0.1111111111111111,7,0.0163065101068695,0.0637088106089903,False,percentage,,
3,4,Joey Lawrence,Edyta Sliwinska,27.0,0.1363636363636363,3,0.0099862955307877,0.073174965947212,False,percentage,,
3,4,Mario Lopez,Karina Smirnoff,29.0,0.1464646464646464,1,0.475911908130074,0.3111882772973602,False,percentage,,
3,4,Monique Coleman,Louis van Amstel,24.0,0.1212121212121212,4,0.0,0.0606060606060606,False,percentage,,
3,4,Sara Evans,Tony Dovolani,20.0,0.101010101010101,8,0.0202020323173344,0.0606060666637177,False,percentage,,
3,4,Vivica A. Fox,Nick Kosovich,24.0,0.1212121212121212,4,5.585123495958043e-19,0.0606060606060606,True,percentage,,
3,4,Willa Ford,Maksim Chmerkoskiy,28.0,0.1414141414141414,2,0.0008954612771825,0.0711548013456619,False,percentage,,
3,5,Emmitt Smith,Cheryl Burke,27.0,0.149171270718232,1,0.4778671433214453,0.3135192070198387,False,percentage,,
3,5,Jerry Springer,Kym Johnson,24.0,0.1325966850828729,6,0.0172272563190652,0.074911970700969,False,percentage,,
3,5,Joey Lawrence,Edyta Sliwinska,25.0,0.1381215469613259,5,0.0111800982899491,0.0746508226256375,False,percentage,,
3,5,Mario Lopez,Karina Smirnoff,27.0,0.149171270718232,1,0.4771412729966227,0.3131562718574274,False,percentage,,
3,5,Monique Coleman,Louis van Amstel,27.0,0.149171270718232,1,9.643437558521095e-06,0.0745904570778952,False,percentage,,
3,5,Sara Evans,Tony Dovolani,24.0,0.1325966850828729,6,0.0165745856353591,0.074585635359116,False,percentage,,
3,5,Willa Ford,Maksim Chmerkoskiy,27.0,0.149171270718232,1,0.0,0.074585635359116,True,percentage,,
3,6,Emmitt Smith,Cheryl Burke,25.0,0.211864406779661,2,0.4839476625693214,0.3479060346744912,False,percentage,,
3,6,Jerry Springer,Kym Johnson,18.0,0.1525423728813559,5,0.0176544917750459,0.0850984323282009,False,percentage,,
3,6,Joey Lawrence,Edyta Sliwinska,24.0,0.2033898305084746,3,0.0123650678421959,0.1078774491753352,False,percentage,,
3,6,Mario Lopez,Karina Smirnoff,28.0,0.2372881355932203,1,0.4831769651026421,0.3602325503479312,False,percentage,,
3,6,Monique Coleman,Louis van Amstel,23.0,0.1949152542372881,4,0.0028558127107945,0.0988855334740413,False,percentage,,
3,7,Emmitt Smith,Cheryl Burke,28.5,0.2111111111111111,1,0.4866647546164688,0.34888793286379,False,percentage,,
3,7,Jerry Springer,Kym Johnson,23.0,0.1703703703703703,5,0.014715066169451,0.0925427182699107,True,percentage,,
3,7,Joey Lawrence,Edyta Sliwinska,28.5,0.2111111111111111,1,0.0103167565586747,0.1107139338348929,False,percentage,,
3,7,Mario Lopez,Karina Smirnoff,28.0,0.2074074074074074,3,0.4859030484390762,0.3466552279232418,False,percentage,,
3,7,Monique Coleman,Louis van Amstel,27.0,0.2,4,0.002400374216329,0.1012001871081645,False,percentage,,
3,8,Emmitt Smith,Cheryl Burke,27.0,0.2477064220183486,2,0.4923147597923117,0.3700105909053302,False,percentage,,
3,8,Joey Lawrence,Edyta Sliwinska,27.0,0.2477064220183486,2,0.0111891940936121,0.1294478080559804,False,percentage,,
3,8,Mario Lopez,Karina Smirnoff,28.5,0.2614678899082568,1,0.4916276649708858,0.3765477774395713,False,percentage,,
3,8,Monique Coleman,Louis van Amstel,26.5,0.2431192660550458,4,0.0048683811431902,0.123993823599118,True,percentage,,
3,9,Emmitt Smith,Cheryl Burke,29.5,0.3333333333333333,1,0.4955590782676146,0.414446205800474,False,percentage,,
3,9,Joey Lawrence,Edyta Sliwinska,29.5,0.3333333333333333,1,0.0096099509155811,0.1714716421244572,False,percentage,,
3,9,Mario Lopez,Karina Smirnoff,29.5,0.3333333333333333,1,0.4948309708168043,0.4140821520750688,False,percentage,,
3,10,Emmitt Smith,Cheryl Burke,29.666600000000003,0.5,1,0.5003890909462052,0.5001945454731026,False,percentage,,
3,10,Mario Lopez,Karina Smirnoff,29.666600000000003,0.5,1,0.4996109090537947,0.4998054545268974,False,percentage,,
4,1,Apolo Anton Ohno,Julianne Hough,21.0,0.1019417475728155,3,0.3111468581285961,0.2065443028507058,False,percentage,,
4,1,Billy Ray Cyrus,Karina Smirnoff,13.0,0.0631067961165048,11,0.0219466039138216,0.0425267000151632,False,percentage,,
4,1,Clyde Drexler,Elena Grinenko,16.0,0.0776699029126213,9,0.0252398403928493,0.0514548716527353,False,percentage,,
4,1,Heather Mills,Jonathan Roberts,18.0,0.087378640776699,7,2.5093242975542125e-10,0.0436893205138157,False,percentage,,
4,1,Ian Ziering,Cheryl Burke,21.0,0.1019417475728155,3,0.0045734434711964,0.053257595522006,False,percentage,,
4,1,Joey Fatone,Kym Johnson,24.0,0.116504854368932,1,0.3111468392709974,0.2138258468199647,False,percentage,,
4,1,John Ratzenberger,Edyta Sliwinska,17.0,0.0825242718446602,8,0.0115895768662027,0.0470569243554314,False,percentage,,
4,1,Laila Ali,Maksim Chmerkoskiy,23.0,0.1116504854368932,2,0.3111468316508098,0.2113986585438515,False,percentage,,
4,1,Leeza Gibbons,Tony Dovolani,15.0,0.0728155339805825,10,8.322936067153208e-11,0.0364077670319059,False,percentage,,
4,1,Paulina Porizkova,Alec Mazo,19.0,0.0922330097087378,5,1.2130067064173326e-10,0.0461165049150192,False,percentage,,
4,1,Shandi Finnessey,Brian Fortuna,19.0,0.0922330097087378,5,0.0032100059921595,0.0477215078504486,False,percentage,,
4,2,Apolo Anton Ohno,Julianne Hough,26.0,0.1061224489795918,2,0.3113576548667227,0.2087400519231572,False,percentage,,
4,2,Billy Ray Cyrus,Karina Smirnoff,21.0,0.0857142857142857,6,0.0238172904071177,0.0547657880607017,False,percentage,,
4,2,Clyde Drexler,Elena Grinenko,18.0,0.073469387755102,11,0.0215616288027186,0.0475155082789103,False,percentage,,
4,2,Heather Mills,Jonathan Roberts,24.0,0.0979591836734693,3,0.0004854242924973,0.0492223039829833,False,percentage,,
4,2,Ian Ziering,Cheryl Burke,22.0,0.0897959183673469,5,0.0041081575192816,0.0469520379433142,False,percentage,,
4,2,Joey Fatone,Kym Johnson,24.0,0.0979591836734693,3,0.3113577105171975,0.2046584470953334,False,percentage,,
4,2,John Ratzenberger,Edyta Sliwinska,21.0,0.0857142857142857,6,0.0118727740368993,0.0487935298755925,False,percentage,,
4,2,Laila Ali,Maksim Chmerkoskiy,27.0,0.110204081632653,1,0.3113577268957786,0.2107809042642158,False,percentage,,
4,2,Leeza Gibbons,Tony Dovolani,21.0,0.0857142857142857,6,0.0,0.0428571428571428,False,percentage,,
4,2,Paulina Porizkova,Alec Mazo,21.0,0.0857142857142857,6,6.866011344452938e-12,0.0428571428605758,True,percentage,,
4,2,Shandi Finnessey,Brian Fortuna,20.0,0.0816326530612244,10,0.004081632909341,0.0428571429852827,False,percentage,,
4,3,Apolo Anton Ohno,Julianne Hough,23.0,0.1055045871559633,5,0.3113569526670124,0.2084307699114878,False,percentage,,
4,3,Billy Ray Cyrus,Karina Smirnoff,21.0,0.0963302752293578,6,0.0248361925352595,0.0605832338823087,False,percentage,,
4,3,Clyde Drexler,Elena Grinenko,16.0,0.073394495412844,10,0.0238587379145741,0.048626616663709,False,percentage,,
4,3,Heather Mills,Jonathan Roberts,24.0,0.110091743119266,1,6.484423883444106e-11,0.0550458715920551,False,percentage,,
4,3,Ian Ziering,Cheryl Burke,24.0,0.110091743119266,1,0.0033933306820273,0.0567425369006466,False,percentage,,
4,3,Joey Fatone,Kym Johnson,24.0,0.110091743119266,1,0.3113568675831973,0.2107243053512317,False,percentage,,
4,3,John Ratzenberger,Edyta Sliwinska,20.0,0.091743119266055,9,0.0126182398903761,0.0521806795782156,False,percentage,,
4,3,Laila Ali,Maksim Chmerkoskiy,21.0,0.0963302752293578,6,0.3113568397074251,0.2038435574683914,False,percentage,,
4,3,Leeza Gibbons,Tony Dovolani,24.0,0.110091743119266,1,0.0002998810396553,0.0551958120794607,False,percentage,,
4,3,Shandi Finnessey,Brian Fortuna,21.0,0.0963302752293578,6,0.0009229581473291,0.0486266166883434,True,percentage,,
4,4,Apolo Anton Ohno,Julianne Hough,26.0,0.1368421052631579,2,0.3122980024865696,0.2245700538748637,False,percentage,,
4,4,Billy Ray Cyrus,Karina Smirnoff,21.0,0.1105263157894736,5,0.0253576833495276,0.0679419995695006,False,percentage,,
4,4,Clyde Drexler,Elena Grinenko,15.0,0.0789473684210526,9,0.0217026467736547,0.0503250075973537,False,percentage,,
4,4,Heather Mills,Jonathan Roberts,23.0,0.1210526315789473,4,3.306528168700601e-13,0.060526315789639,False,percentage,,
4,4,Ian Ziering,Cheryl Burke,24.0,0.1263157894736842,3,0.0019809113710315,0.0641483504223578,False,percentage,,
4,4,Joey Fatone,Kym Johnson,28.0,0.1473684210526315,1,0.3122981102984626,0.2298332656755471,False,percentage,,
4,4,John Ratzenberger,Edyta Sliwinska,16.0,0.0842105263157894,7,0.0140645067198187,0.0491375165178041,False,percentage,,
4,4,Laila Ali,Maksim Chmerkoskiy,21.0,0.1105263157894736,5,0.3122981387581302,0.2114122272738019,False,percentage,,
4,4,Leeza Gibbons,Tony Dovolani,16.0,0.0842105263157894,7,2.4441739725119623e-10,0.0421052632801034,True,percentage,,
4,5,Apolo Anton Ohno,Julianne Hough,30.0,0.1704545454545454,1,0.31229823782894,0.2413763916417427,False,percentage,,
4,5,Billy Ray Cyrus,Karina Smirnoff,17.0,0.096590909090909,7,0.0280974847865563,0.0623441969387327,False,percentage,,
4,5,Clyde Drexler,Elena Grinenko,13.0,0.0738636363636363,8,0.0176411705593835,0.0457524034615099,True,percentage,,
4,5,Heather Mills,Jonathan Roberts,21.0,0.1193181818181818,5,0.0,0.0596590909090909,False,percentage,,
4,5,Ian Ziering,Cheryl Burke,24.0,0.1363636363636363,4,0.0004733569478798,0.068418496655758,False,percentage,,
4,5,Joey Fatone,Kym Johnson,25.0,0.1420454545454545,3,0.3122981179582005,0.2271717862518275,False,percentage,,
4,5,John Ratzenberger,Edyta Sliwinska,18.0,0.1022727272727272,6,0.0168935423179622,0.0595831347953447,False,percentage,,
4,5,Laila Ali,Maksim Chmerkoskiy,28.0,0.1590909090909091,2,0.3122980896085378,0.2356944993497234,False,percentage,,
4,6,Apolo Anton Ohno,Julianne Hough,28.0,0.1647058823529411,1,0.3149953577925042,0.2398506200727226,False,percentage,,
4,6,Billy Ray Cyrus,Karina Smirnoff,21.0,0.1235294117647058,6,0.0309846628890278,0.0772570373268668,False,percentage,,
4,6,Heather Mills,Jonathan Roberts,23.0,0.1352941176470588,5,6.330394552588016e-12,0.0676470588266946,True,percentage,,
4,6,Ian Ziering,Cheryl Burke,24.0,0.1411764705882353,4,0.0004995888487492,0.0708380297184922,False,percentage,,
4,6,Joey Fatone,Kym Johnson,27.0,0.1588235294117647,3,0.3149954808826696,0.2369095051472171,False,percentage,,
4,6,John Ratzenberger,Edyta Sliwinska,19.0,0.1117647058823529,7,0.0235294117684329,0.0676470588253929,False,percentage,,
4,6,Laila Ali,Maksim Chmerkoskiy,28.0,0.1647058823529411,1,0.3149954978122948,0.239850690082618,False,percentage,,
4,7,Apolo Anton Ohno,Julianne Hough,27.0,0.174757281553398,3,0.3181249169022765,0.2464410992278373,False,percentage,,
4,7,Billy Ray Cyrus,Karina Smirnoff,19.0,0.1229773462783171,6,0.033896156815201,0.0784367515467591,False,percentage,,
4,7,Ian Ziering,Cheryl Burke,27.0,0.174757281553398,3,0.0004868933862383,0.0876220874698182,False,percentage,,
4,7,Joey Fatone,Kym Johnson,29.5,0.1909385113268608,1,0.3181248035242261,0.2545316574255435,False,percentage,,
4,7,John Ratzenberger,Edyta Sliwinska,22.5,0.145631067961165,5,0.0112424351321459,0.0784367515466555,True,percentage,,
4,7,Laila Ali,Maksim Chmerkoskiy,29.5,0.1909385113268608,1,0.3181247942399121,0.2545316527833864,False,percentage,,
4,8,Apolo Anton Ohno,Julianne Hough,29.0,0.2310756972111553,1,0.3223983888260642,0.2767370430186098,False,percentage,,
4,8,Billy Ray Cyrus,Karina Smirnoff,19.0,0.1513944223107569,5,0.0312119783332266,0.0913032003219918,True,percentage,,
4,8,Ian Ziering,Cheryl Burke,23.5,0.1872509960159362,4,0.0015926708772964,0.0944218334466163,False,percentage,,
4,8,Joey Fatone,Kym Johnson,27.5,0.2191235059760956,2,0.3223984819707519,0.2707609939734238,False,percentage,,
4,8,Laila Ali,Maksim Chmerkoskiy,26.5,0.2111553784860557,3,0.3223984799926608,0.2667769292393583,False,percentage,,
4,9,Apolo Anton Ohno,Julianne Hough,29.5,0.2489451476793249,3,0.3307432346149705,0.2898441911471477,False,percentage,,
4,9,Ian Ziering,Cheryl Burke,29.0,0.2447257383966244,4,0.0077704150329657,0.1262480767147951,True,percentage,,
4,9,Joey Fatone,Kym Johnson,30.0,0.2531645569620253,1,0.3307431739556288,0.291953865458827,False,percentage,,
4,9,Laila Ali,Maksim Chmerkoskiy,30.0,0.2531645569620253,1,0.3307431763964349,0.2919538666792301,False,percentage,,
