season,week,celebrity_name,ballroom_partner,method,estimated_vote_percent,lower_bound,upper_bound,uncertainty_range,relative_uncertainty,judge_percent,combined_score,eliminated
1,1,Kelly Monaco,Alec Mazo,rank,0.1942644310363561,0.038258928678438275,0.3502699333942739,0.31201100471583565,1.6061149385470548,0.1192660550458715,0.3135304860822276,False
1,2,Kelly Monaco,Alec Mazo,rank,0.1942644310363561,0.038258928678438275,0.3502699333942739,0.31201100471583565,1.6061149385470548,0.140495867768595,0.3347602988049512,False
1,3,Kelly Monaco,Alec Mazo,rank,0.2188053358992111,0.06279983354129329,0.3748108382571289,0.31201100471583565,1.4259753009842415,0.1981132075471698,0.4169185434463809,False
1,4,Kelly Monaco,Alec Mazo,rank,0.2539478140239294,0.09794231166601158,0.40995331638184723,0.31201100471583565,1.2286422149963259,0.2826086956521739,0.5365565096761034,False
1,5,Kelly Monaco,Alec Mazo,rank,0.3095294705015841,0.15352396814366626,0.4655349728595019,0.31201100471583565,1.0080171177569306,0.3219178082191781,0.6314472787207621,False
1,6,Kelly Monaco,Alec Mazo,rank,0.414213562373095,0.25820806001517715,0.5702190647310128,0.31201100471583565,0.7532611991946263,0.5045871559633027,0.9188007183363978,False
1,1,Rachel Hunter,Jonathan Roberts,rank,0.1373656965291538,0.07999201616556062,0.194739376892747,0.11474736072718639,0.8353421824118439,0.1834862385321101,0.3208519350612639,False
1,2,Rachel Hunter,Jonathan Roberts,rank,0.1373656965291538,0.07999201616556062,0.194739376892747,0.11474736072718639,0.8353421824118439,0.1983471074380165,0.3357128039671703,False
1,3,Rachel Hunter,Jonathan Roberts,rank,0.1547187367741325,0.09734505641053931,0.2120924171377257,0.11474736072718639,0.7416513547076158,0.2452830188679245,0.4000017556420571,False
1,4,Rachel Hunter,Jonathan Roberts,rank,0.2073475218846084,0.1499738415210152,0.2647212022482016,0.11474736072718641,0.5534059905044094,0.2717391304347826,0.479086652319391,True
1,1,Trista Sutter,Louis van Amstel,rank,0.1121586215528097,0.1121586215528097,0.1121586215528097,0.0,0.0,0.1651376146788991,0.2772962362317088,False
1,2,Trista Sutter,Louis van Amstel,rank,0.1121586215528097,0.1121586215528097,0.1121586215528097,0.0,0.0,0.1570247933884297,0.2691834149412395,True
2,1,Drew Lachey,Cheryl Burke,rank,0.066387865523762,0.0,0.24354769147940414,0.24354769147940414,3.6685573418870034,0.123076923076923,0.1894647886006851,False
2,2,Drew Lachey,Cheryl Burke,rank,0.0708500785140889,0.0,0.24800990446973104,0.24800990446973104,3.5004887739173505,0.135,0.2058500785140889,False
2,3,Drew Lachey,Cheryl Burke,rank,0.0808780743662872,0.0,0.25803790032192936,0.25803790032192936,3.1904555387076394,0.1483516483516483,0.2292297227179355,False
2,4,Drew Lachey,Cheryl Burke,rank,0.1016077991496491,0.0,0.27876762510529124,0.27876762510529124,2.743565232573527,0.1772151898734177,0.2788229890230668,False
2,5,Drew Lachey,Cheryl Burke,rank,0.1121586215528097,0.0,0.2893184475084518,0.2893184475084518,2.5795471048315863,0.1788079470198675,0.2909665685726773,False
2,6,Drew Lachey,Cheryl Burke,rank,0.2188053358992111,0.04164550994356897,0.39596516185485325,0.3543196519112843,1.6193373459342668,0.225563909774436,0.4443692456736472,False
2,7,Drew Lachey,Cheryl Burke,rank,0.2539478140239294,0.07678798806828727,0.4311076399795716,0.35431965191128434,1.3952459219747289,0.2696078431372549,0.5235556571611844,False
2,8,Drew Lachey,Cheryl Burke,rank,0.3095294705015841,0.13236964454594194,0.48668929645722625,0.35431965191128434,1.1447040934006025,0.3438729131809768,0.6534023836825609,False
2,1,George Hamilton,Edyta Sliwinska,rank,0.1149871560932061,0.07161037134501132,0.15836394084140087,0.08675356949638956,0.7544631282651167,0.0923076923076923,0.2072948484008984,False
2,2,George Hamilton,Edyta Sliwinska,rank,0.1227159357066462,0.07933915095845141,0.16609272045484097,0.08675356949638956,0.706946241307852,0.11,0.2327159357066462,False
2,3,George Hamilton,Edyta Sliwinska,rank,0.1320733423841837,0.08869655763598891,0.17545012713237848,0.08675356949638957,0.6568590446059511,0.1208791208791208,0.2529524632633046,False
2,4,George Hamilton,Edyta Sliwinska,rank,0.1436951276003152,0.1003183428521204,0.18707191234850998,0.08675356949638957,0.6037335499481423,0.1329113924050632,0.2766065200053784,False
2,5,George Hamilton,Edyta Sliwinska,rank,0.1586162437370548,0.11523945898886001,0.20199302848524958,0.08675356949638957,0.5469400072303113,0.1589403973509933,0.3175566410880482,False
2,6,George Hamilton,Edyta Sliwinska,rank,0.1786538086504485,0.1352770239022537,0.22203059339864328,0.08675356949638957,0.48559596994727594,0.1729323308270676,0.3515861394775162,True
2,1,Giselle Fernandez,Jonathan Roberts,rank,0.0752767638206885,0.0600148668871065,0.0905386607542705,0.030523793867164,0.40548759428437425,0.1179487179487179,0.1932254817694064,False
2,2,Giselle Fernandez,Jonathan Roberts,rank,0.08033643776472,0.065074540831138,0.095598334698302,0.030523793867164,0.37994955609755227,0.12,0.20033643776472,False
2,3,Giselle Fernandez,Jonathan Roberts,rank,0.093389956013829,0.078128059080247,0.108651852947411,0.030523793867164,0.3268423626052902,0.1208791208791208,0.2142690768929498,True
2,1,Jerry Rice,Anna Trebunskaya,rank,0.081308197822862,0.0,0.3377056745118713,0.3377056745118713,4.153402529565305,0.1076923076923077,0.1890005055151697,False
2,2,Jerry Rice,Anna Trebunskaya,rank,0.0867732702978219,0.0,0.34317074698683114,0.34317074698683114,3.9547978981200744,0.115,0.2017732702978219,False
2,3,Jerry Rice,Anna Trebunskaya,rank,0.0864622983944773,0.0,0.34285977508348653,0.34285977508348653,3.965425178951597,0.1043956043956044,0.1908579027900817,False
2,4,Jerry Rice,Anna Trebunskaya,rank,0.2488872618038387,0.0,0.5052847384928479,0.5052847384928479,2.030175167787774,0.1518987341772152,0.4007859959810539,False
2,5,Jerry Rice,Anna Trebunskaya,rank,0.2747313930583076,0.018333916369298375,0.5311288697473169,0.5127949533780185,1.866532061260234,0.152317880794702,0.4270492738530096,False
2,6,Jerry Rice,Anna Trebunskaya,rank,0.309437473548265,0.053039996859255756,0.5658349502372743,0.5127949533780185,1.657184398185162,0.1729323308270676,0.4823698043753327,False
2,7,Jerry Rice,Anna Trebunskaya,rank,0.3591364427276414,0.10273896603863214,0.6155339194166507,0.5127949533780185,1.4278555233307448,0.2009803921568627,0.5601168348845043,False
2,8,Jerry Rice,Anna Trebunskaya,rank,0.4377407751375031,0.18134329844849384,0.6941382518265123,0.5127949533780185,1.1714580466417355,0.3162063678588072,0.7539471429963103,False
2,1,Kenny Mayne,Andrea Hale,rank,0.0629810592156165,0.0629810592156165,0.0629810592156165,0.0,0.0,0.0666666666666666,0.1296477258822832,True
2,1,Lisa Rinna,Louis van Amstel,rank,0.099581798285643,0.046777144217462,0.15238645235382398,0.10560930813636198,1.0605282285968518,0.0974358974358974,0.1970176957215405,False
2,2,Lisa Rinna,Louis van Amstel,rank,0.1062751177711334,0.0534704637029524,0.15907977183931438,0.10560930813636198,0.9937350374317603,0.1,0.2062751177711335,False
2,3,Lisa Rinna,Louis van Amstel,rank,0.1143788696674231,0.0615742155992421,0.16718352373560408,0.10560930813636198,0.9233288320075187,0.1373626373626373,0.2517415070300605,False
2,4,Lisa Rinna,Louis van Amstel,rank,0.1244436309019193,0.07163897683373831,0.1772482849701003,0.105609308136362,0.8486517740678778,0.1645569620253164,0.2890005929272358,False
2,5,Lisa Rinna,Louis van Amstel,rank,0.1373656965291538,0.08456104246097282,0.1901703505973348,0.10560930813636199,0.7688186410786189,0.1655629139072847,0.3029286104364386,False
2,6,Lisa Rinna,Louis van Amstel,rank,0.1547187367741325,0.10191408270595151,0.2075233908423135,0.10560930813636199,0.6825890020711367,0.2030075187969924,0.357726255571125,False
2,7,Lisa Rinna,Louis van Amstel,rank,0.1795682213638207,0.1267635672956397,0.2323728754320017,0.10560930813636199,0.5881291652512859,0.2598039215686274,0.4393721429324482,True
2,1,Master P,Ashly DelGrosso,rank,0.0704149648505291,0.0,0.21030350751989674,0.21030350751989674,2.986630866979926,0.0615384615384615,0.1319534263889906,False
2,2,Master P,Ashly DelGrosso,rank,0.2125502355422669,0.07266169287289925,0.35243877821163455,0.2797770853387353,1.3162868750766448,0.08,0.2925502355422669,False
2,3,Master P,Ashly DelGrosso,rank,0.2287577393348463,0.08886919666547866,0.36864628200421395,0.2797770853387353,1.2230278466303994,0.0769230769230769,0.3056808162579232,False
2,4,Master P,Ashly DelGrosso,rank,0.0940705427463974,0.0,0.23395908541576504,0.23395908541576504,2.4870600145944723,0.050632911392405,0.1447034541388025,True
2,1,Stacy Keibler,Tony Dovolani,rank,0.0890686681153479,0.0,0.19951829923406356,0.19951829923406356,2.2400503280870714,0.1128205128205128,0.2018891809358608,False
2,2,Stacy Keibler,Tony Dovolani,rank,0.0950553550612201,0.0,0.20550498617993573,0.20550498617993573,2.161950644943474,0.145,0.2400553550612201,False
2,3,Stacy Keibler,Tony Dovolani,rank,0.1023035711063787,0.0,0.21275320222509433,0.21275320222509433,2.079626350519733,0.1483516483516483,0.2506552194580271,False
2,4,Stacy Keibler,Tony Dovolani,rank,0.111305767225434,0.0008561361067183637,0.22175539834414965,0.22089926223743128,1.9846165005091896,0.1645569620253164,0.2758627292507505,False
2,5,Stacy Keibler,Tony Dovolani,rank,0.1228636140863179,0.012413982967602252,0.23331324520503355,0.22089926223743128,1.7979225491628334,0.1986754966887417,0.3215391107750596,False
2,6,Stacy Keibler,Tony Dovolani,rank,0.1383846451279427,0.02793501400922707,0.24883427624665835,0.22089926223743128,1.596270034390016,0.225563909774436,0.3639485549023788,False
2,7,Stacy Keibler,Tony Dovolani,rank,0.2073475218846084,0.09689789076589275,0.317797153003324,0.22089926223743125,1.065357619081479,0.2696078431372549,0.4769553650218633,False
2,8,Stacy Keibler,Tony Dovolani,rank,0.2527297543609129,0.14228012324219724,0.3631793854796285,0.22089926223743128,0.8740532463066228,0.339920718960216,0.5926504733211289,False
2,1,Tatum O'Neal,Nick Kosovich,rank,0.1991635965712861,0.0751478564473674,0.3231793366952048,0.24803148024783742,1.2453655412828426,0.1179487179487179,0.3171123145200041,False
2,2,Tatum O'Neal,Nick Kosovich,rank,0.0751478564473674,0.0,0.1991635965712861,0.1991635965712861,2.6502897885154946,0.085,0.1601478564473674,True
2,1,Tia Carrere,Maksim Chmerkoskiy,rank,0.1408299297010582,0.10301543218755933,0.1786444272145571,0.07562899502699776,0.5370235942568213,0.1025641025641025,0.2433940322651608,False
2,2,Tia Carrere,Maksim Chmerkoskiy,rank,0.1502957128947348,0.11248121538123594,0.18811021040823367,0.07562899502699773,0.5032012794667491,0.11,0.2602957128947348,False
2,3,Tia Carrere,Maksim Chmerkoskiy,rank,0.1617561487325744,0.12394165121907554,0.1995706462460733,0.07562899502699776,0.46754942930813986,0.1428571428571428,0.3046132915897173,False
2,4,Tia Carrere,Maksim Chmerkoskiy,rank,0.1759898705724459,0.138175373058947,0.21380436808594477,0.07562899502699777,0.42973493179464123,0.1582278481012658,0.3342177186737118,False
2,5,Tia Carrere,Maksim Chmerkoskiy,rank,0.1942644310363561,0.15644993352285724,0.23207892854985496,0.07562899502699771,0.38930953352363273,0.1456953642384106,0.3399597952747667,True
3,1,Emmitt Smith,Cheryl Burke,percentage,0.4754686434974316,0.45780397374523524,0.493133313249628,0.035329339504392765,0.07430424695205712,0.1132075471698113,0.2943380953336215,False
3,2,Emmitt Smith,Cheryl Burke,percentage,0.4755098970595676,0.4578452273073712,0.49317456681176397,0.035329339504392765,0.07429780057757036,0.1043478260869565,0.289928861573262,False
3,3,Emmitt Smith,Cheryl Burke,percentage,0.47588476274421,0.4582200929920136,0.49354943249640637,0.035329339504392765,0.07423927444254488,0.0917874396135265,0.2838361011788682,False
3,4,Emmitt Smith,Cheryl Burke,percentage,0.4766977926377518,0.4590331228855554,0.4943624623899482,0.035329339504392765,0.07411265596364937,0.1212121212121212,0.2989549569249365,False
3,5,Emmitt Smith,Cheryl Burke,percentage,0.4778671433214453,0.4602024735692489,0.4955318130736417,0.035329339504392765,0.07393130077710301,0.149171270718232,0.3135192070198387,False
3,6,Emmitt Smith,Cheryl Burke,percentage,0.4839476625693214,0.46628299281712504,0.5016123323215178,0.035329339504392765,0.07300239723615182,0.211864406779661,0.3479060346744912,False
3,7,Emmitt Smith,Cheryl Burke,percentage,0.4866647546164688,0.4690000848642724,0.5043294243686652,0.03532933950439282,0.07259481844382834,0.2111111111111111,0.34888793286379,False
3,8,Emmitt Smith,Cheryl Burke,percentage,0.4923147597923117,0.4746500900401153,0.5099794295445081,0.03532933950439282,0.07176169066980012,0.2477064220183486,0.3700105909053302,False
3,9,Emmitt Smith,Cheryl Burke,percentage,0.4955590782676146,0.4778944085154182,0.513223748019811,0.035329339504392765,0.0712918823481103,0.3333333333333333,0.414446205800474,False
3,10,Emmitt Smith,Cheryl Burke,percentage,0.5003890909462052,0.4827244211940088,0.5180537606984016,0.035329339504392765,0.0706037364595362,0.5,0.5001945454731026,False
3,1,Harry Hamlin,Ashly DelGrosso,percentage,0.0043788124271916,0.0023442487072395657,0.006413376147143634,0.0040691274399040685,0.9292764893594332,0.080188679245283,0.0422837458362373,False
3,2,Harry Hamlin,Ashly DelGrosso,percentage,0.0043478260869565,0.002313262367004466,0.006382389806908534,0.0040691274399040685,0.9358993111779405,0.0913043478260869,0.0478260869565217,False
3,3,Harry Hamlin,Ashly DelGrosso,percentage,0.0022055054080819,0.00017094168812986556,0.004240069128033934,0.0040691274399040685,1.8449863804428106,0.1062801932367149,0.0542428493223984,True
3,1,Jerry Springer,Kym Johnson,percentage,0.0153558492906631,0.013373469633165078,0.017338228948161123,0.003964759314996045,0.25819212209947634,0.0754716981132075,0.0454137737019353,False
3,2,Jerry Springer,Kym Johnson,percentage,0.0153657664403992,0.013383386782901177,0.017348146097897223,0.003964759314996047,0.2580254834911472,0.0826086956521739,0.0489872310462865,False
3,3,Jerry Springer,Kym Johnson,percentage,0.0157049406903313,0.013722561032833277,0.017687320347829324,0.003964759314996047,0.2524529950907066,0.1014492753623188,0.058577108026325,False
3,4,Jerry Springer,Kym Johnson,percentage,0.0163065101068695,0.014324130449371477,0.018288889764367523,0.003964759314996047,0.24313965949868077,0.1111111111111111,0.0637088106089903,False
3,5,Jerry Springer,Kym Johnson,percentage,0.0172272563190652,0.015244876661567179,0.019209635976563225,0.003964759314996047,0.2301445593868766,0.1325966850828729,0.074911970700969,False
3,6,Jerry Springer,Kym Johnson,percentage,0.0176544917750459,0.015672112117547876,0.019636871432543924,0.003964759314996048,0.22457510335132488,0.1525423728813559,0.0850984323282009,False
3,7,Jerry Springer,Kym Johnson,percentage,0.014715066169451,0.012732686511952978,0.016697445826949025,0.003964759314996047,0.2694353711590525,0.1703703703703703,0.0925427182699107,True
3,1,Joey Lawrence,Edyta Sliwinska,percentage,0.0087416675593374,0.006430762792347363,0.011052572326327436,0.004621809533980073,0.5287102835480507,0.0990566037735849,0.0538991356664611,False
3,2,Joey Lawrence,Edyta Sliwinska,percentage,0.0087990902355917,0.006488185468601663,0.011109995002581736,0.004621809533980073,0.5252599314512288,0.1260869565217391,0.0674430233786654,False
3,3,Joey Lawrence,Edyta Sliwinska,percentage,0.0092476258679967,0.006936721101006663,0.011558530634986736,0.004621809533980073,0.4997833606109423,0.1062801932367149,0.0577639095523558,False
3,4,Joey Lawrence,Edyta Sliwinska,percentage,0.0099862955307877,0.007675390763797663,0.012297200297777736,0.004621809533980073,0.4628152170873631,0.1363636363636363,0.073174965947212,False
3,5,Joey Lawrence,Edyta Sliwinska,percentage,0.0111800982899491,0.008869193522959064,0.013491003056939137,0.004621809533980073,0.4133961450173543,0.1381215469613259,0.0746508226256375,False
3,6,Joey Lawrence,Edyta Sliwinska,percentage,0.0123650678421959,0.010054163075205864,0.014675972609185937,0.004621809533980073,0.37377955325146767,0.2033898305084746,0.1078774491753352,False
3,7,Joey Lawrence,Edyta Sliwinska,percentage,0.0103167565586747,0.008005851791684664,0.012627661325664737,0.004621809533980073,0.44799055863093806,0.2111111111111111,0.1107139338348929,False
3,8,Joey Lawrence,Edyta Sliwinska,percentage,0.0111891940936121,0.008878289326622064,0.013500098860602137,0.004621809533980073,0.4130600913088691,0.2477064220183486,0.1294478080559804,False
3,9,Joey Lawrence,Edyta Sliwinska,percentage,0.0096099509155811,0.007299046148591063,0.011920855682571136,0.004621809533980073,0.4809399730113605,0.3333333333333333,0.1714716421244572,False
3,1,Mario Lopez,Karina Smirnoff,percentage,0.4747207256807775,0.45705192937659245,0.49238952198496255,0.035337592608370105,0.07443869773685131,0.1226415094339622,0.2986811175573699,False
3,2,Mario Lopez,Karina Smirnoff,percentage,0.474721606643736,0.457052810339551,0.4923904029479211,0.035337592608370105,0.07443855959749876,0.0913043478260869,0.2830129772349115,False
3,3,Mario Lopez,Karina Smirnoff,percentage,0.4751998971865211,0.45753110088233606,0.49286869349070617,0.035337592608370105,0.07436363689805202,0.1062801932367149,0.290740045211618,False
3,4,Mario Lopez,Karina Smirnoff,percentage,0.475911908130074,0.45824311182588895,0.49358070443425905,0.035337592608370105,0.07425238159561202,0.1464646464646464,0.3111882772973602,False
3,5,Mario Lopez,Karina Smirnoff,percentage,0.4771412729966227,0.4594724766924376,0.49481006930080773,0.035337592608370105,0.07406106871962057,0.149171270718232,0.3131562718574274,False
3,6,Mario Lopez,Karina Smirnoff,percentage,0.4831769651026421,0.465508168798457,0.5008457614068271,0.035337592608370105,0.07313592153728454,0.2372881355932203,0.3602325503479312,False
3,7,Mario Lopez,Karina Smirnoff,percentage,0.4859030484390762,0.46823425213489117,0.5035718447432613,0.03533759260837016,0.07272560384605382,0.2074074074074074,0.3466552279232418,False
3,8,Mario Lopez,Karina Smirnoff,percentage,0.4916276649708858,0.47395886866670073,0.5092964612750709,0.03533759260837016,0.07187877153020437,0.2614678899082568,0.3765477774395713,False
3,9,Mario Lopez,Karina Smirnoff,percentage,0.4948309708168043,0.4771621745126193,0.5124997671209894,0.03533759260837016,0.07141346175248356,0.3333333333333333,0.4140821520750688,False
3,10,Mario Lopez,Karina Smirnoff,percentage,0.4996109090537947,0.48194211274960963,0.5172797053579797,0.035337592608370105,0.07073022619801361,0.5,0.4998054545268974,False
3,1,Monique Coleman,Louis van Amstel,percentage,2.6645317343284207e-06,0.0,0.0035221933132792414,0.0035221933132792414,1321.8807897467166,0.0896226415094339,0.0448126530205841,False
3,2,Monique Coleman,Louis van Amstel,percentage,1.5370969026997584e-18,0.0,0.003519528781544915,0.003519528781544915,2289724724162290.0,0.1130434782608695,0.0565217391304347,False
3,3,Monique Coleman,Louis van Amstel,percentage,1.3518645838178633e-18,0.0,0.0035195287815449144,0.0035195287815449144,2603462524038650.5,0.1304347826086956,0.0652173913043478,False
3,4,Monique Coleman,Louis van Amstel,percentage,0.0,0.0,0.003519528781544913,0.003519528781544913,0.0,0.1212121212121212,0.0606060606060606,False
3,5,Monique Coleman,Louis van Amstel,percentage,9.643437558521095e-06,0.0,0.0035291722191034343,0.0035291722191034343,365.96620216460065,0.149171270718232,0.0745904570778952,False
3,6,Monique Coleman,Louis van Amstel,percentage,0.0028558127107945,0.0,0.006375341492339414,0.006375341492339414,2.2324088229741665,0.1949152542372881,0.0988855334740413,False
3,7,Monique Coleman,Louis van Amstel,percentage,0.002400374216329,0.0,0.005919902997873913,0.005919902997873913,2.4662417041487332,0.2,0.1012001871081645,False
3,8,Monique Coleman,Louis van Amstel,percentage,0.0048683811431902,0.0013488523616452868,0.008387909924735114,0.007039057563089827,1.4458723251230912,0.2431192660550458,0.123993823599118,True
3,1,Sara Evans,Tony Dovolani,percentage,0.019398233540108,0.01688361031596486,0.021912856764251143,0.005029246448286284,0.25926311475154473,0.070754716981132,0.04507647526062,False
3,2,Sara Evans,Tony Dovolani,percentage,0.0193383150214676,0.016823691797324458,0.021852938245610742,0.005029246448286284,0.2600664247481377,0.0913043478260869,0.0553213314237773,False
3,3,Sara Evans,Tony Dovolani,percentage,0.0195517626947767,0.017037139470633553,0.022066385918919844,0.005029246448286291,0.2572272652240131,0.1207729468599033,0.07016235477734,False
3,4,Sara Evans,Tony Dovolani,percentage,0.0202020323173344,0.017687409093191254,0.022716655541477546,0.005029246448286291,0.24894754989432102,0.101010101010101,0.0606060666637177,False
3,5,Sara Evans,Tony Dovolani,percentage,0.0165745856353591,0.014059962411215958,0.019089208859502244,0.005029246448286286,0.30343120237993954,0.1325966850828729,0.074585635359116,False
3,1,Shanna Moakler,Jesse DeSoto,percentage,8.533856943587077e-19,0.0,1.7067713887174154e-18,1.7067713887174154e-18,2.0,0.0849056603773584,0.0424528301886792,False
3,2,Shanna Moakler,Jesse DeSoto,percentage,0.0,0.0,8.533856943587077e-19,8.533856943587077e-19,0.0,0.0956521739130434,0.0478260869565217,True
3,1,Tucker Carlson,Elena Grinenko,percentage,4.454334511373552e-19,4.454334511373552e-19,4.454334511373552e-19,0.0,0.0,0.0566037735849056,0.0283018867924528,True
3,1,Vivica A. Fox,Nick Kosovich,percentage,2.1243586317137853e-18,5.765954674070937e-19,3.672121796020477e-18,3.0955263286133836e-18,1.45715807227715,0.1037735849056603,0.0518867924528301,False
3,2,Vivica A. Fox,Nick Kosovich,percentage,1.4641645200984199e-18,0.0,3.0119276844051115e-18,3.0119276844051115e-18,2.0570964827112816,0.1043478260869565,0.0521739130434782,False
3,3,Vivica A. Fox,Nick Kosovich,percentage,1.3891340334970526e-19,0.0,1.6866765676563968e-18,1.6866765676563968e-18,12.14192818680211,0.1304347826086956,0.0652173913043478,False
3,4,Vivica A. Fox,Nick Kosovich,percentage,5.585123495958043e-19,0.0,2.106275513902496e-18,2.106275513902496e-18,3.7712246030491694,0.1212121212121212,0.0606060606060606,True
3,1,Willa Ford,Maksim Chmerkoskiy,percentage,0.0019334034727561,0.0002804645300837896,0.0035863424154284106,0.003305877885344621,1.7098748046790435,0.1037735849056603,0.0528534941892082,False
3,2,Willa Ford,Maksim Chmerkoskiy,percentage,0.0019174985122812,0.0002645595696088895,0.0035704374549535107,0.003305877885344621,1.724057601177328,0.1,0.0509587492561406,False
3,3,Willa Ford,Maksim Chmerkoskiy,percentage,0.0022055054080819,0.0005525664654095893,0.0038584443507542103,0.003305877885344621,1.4989207794415256,0.1062801932367149,0.0542428493223984,False
3,4,Willa Ford,Maksim Chmerkoskiy,percentage,0.0008954612771825,0.0,0.0025484002198548107,0.0025484002198548107,2.845907784949848,0.1414141414141414,0.0711548013456619,False
3,5,Willa Ford,Maksim Chmerkoskiy,percentage,0.0,0.0,0.0016529389426723105,0.0016529389426723105,0.0,0.149171270718232,0.074585635359116,True
4,1,Apolo Anton Ohno,Julianne Hough,percentage,0.3111468581285961,0.2953259836581517,0.3269677325990405,0.03164174894088878,0.10169393684769697,0.1019417475728155,0.2065443028507058,False
4,2,Apolo Anton Ohno,Julianne Hough,percentage,0.3113576548667227,0.2955367803962783,0.32717852933716707,0.03164174894088878,0.10162508756829217,0.1061224489795918,0.2087400519231572,False
4,3,Apolo Anton Ohno,Julianne Hough,percentage,0.3113569526670124,0.295536078196568,0.3271778271374568,0.03164174894088878,0.10162531676216895,0.1055045871559633,0.2084307699114878,False
4,4,Apolo Anton Ohno,Julianne Hough,percentage,0.3122980024865696,0.2964771280161252,0.32811887695701397,0.03164174894088878,0.10131908846342857,0.1368421052631579,0.2245700538748637,False
4,5,Apolo Anton Ohno,Julianne Hough,percentage,0.31229823782894,0.2964773633584956,0.3281191122993844,0.03164174894088878,0.10131901211117435,0.1704545454545454,0.2413763916417427,False
4,6,Apolo Anton Ohno,Julianne Hough,percentage,0.3149953577925042,0.2991744833220598,0.3308162322629486,0.03164174894088878,0.1004514770078994,0.1647058823529411,0.2398506200727226,False
4,7,Apolo Anton Ohno,Julianne Hough,percentage,0.3181249169022765,0.3023040424318321,0.3339457913727209,0.03164174894088878,0.09946328394832613,0.174757281553398,0.2464410992278373,False
4,8,Apolo Anton Ohno,Julianne Hough,percentage,0.3223983888260642,0.3065775143556198,0.3382192632965086,0.03164174894088878,0.09814487304389008,0.2310756972111553,0.2767370430186098,False
4,9,Apolo Anton Ohno,Julianne Hough,percentage,0.3307432346149705,0.3149223601445261,0.3465641090854149,0.03164174894088878,0.09566862033542128,0.2489451476793249,0.2898441911471477,False
4,10,Apolo Anton Ohno,Julianne Hough,percentage,0.3333333200406128,0.3175124455701684,0.34915419451105717,0.03164174894088878,0.09492525060811083,0.3397685007685366,0.3365509104045747,False
4,1,Billy Ray Cyrus,Karina Smirnoff,percentage,0.0219466039138216,0.01409565882471114,0.02979754900293206,0.01570189017822092,0.7154587671002772,0.0631067961165048,0.0425267000151632,False
4,2,Billy Ray Cyrus,Karina Smirnoff,percentage,0.0238172904071177,0.01596634531800724,0.03166823549622816,0.01570189017822092,0.6592643373709914,0.0857142857142857,0.0547657880607017,False
4,3,Billy Ray Cyrus,Karina Smirnoff,percentage,0.0248361925352595,0.01698524744614904,0.032687137624369964,0.015701890178220924,0.6322180888205481,0.0963302752293578,0.0605832338823087,False
